期刊名称,期刊简称,aisRank,jifRank,ISSN,EISSN,学科门类,总引用次数,影响因子,分区,jci,percentageOAGold,数据库,期刊URL,URL校验状态,URL审核原因
,,,,,,,,,,,,,,,
PLOS Biology,PLOS BIOL,,6/107,1544-9173,1545-7885,BIOLOGY,39336,7.2,Q1,1.71,100,SCIE,https://journals.plos.org/plosbiology/,metadata_validated,
PLOS Genetics,PLOS GENET,,51/191,1553-7390,1553-7404,GENETICS & HEREDITY,45650,3.7,Q2,1.14,99.74,SCIE,https://journals.plos.org/plosgenetics/,metadata_validated,
PLOS Medicine,PLOS MED,,13/332,1549-1277,1549-1676,"MEDICINE, GENERAL & INTERNAL",43413,9.9,Q1,2.82,100,SCIE,https://journals.plos.org/plosmedicine/,metadata_validated,
PLOS Pathogens,PLOS PATHOG,,4/47,1553-7366,1553-7374,PARASITOLOGY,51567,4.9,Q1,1.51,99.95,SCIE,https://journals.plos.org/plospathogens/,metadata_validated,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Science Immunology,SCI IMMUNOL,,,2470-9468,2470-9468,Immunology,,17.7,Q1,,,SCIE,https://www.science.org/journal/sciimmunol,,
Science Robotics,SCI ROBOT,,,2470-9476,2470-9476,Robotics,,22.4,Q1,,,SCIE,https://www.science.org/journal/scirobotics,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cancer Cell,CANCER CELL,4/203,3/207,1535-6108,1878-3686,Cell Biology; Oncology,64398,56.1,Q1,8.22,41.76,SCIE,https://www.cell.com/cancer-cell/home,,
Cell Host & Microbe,CELL HOST MICROBE,6/135,2/150,1931-3128,1934-6069,Immunology; Microbiology; Virology,32150,15.9,Q1,1.81,23.69,SCIE,https://www.cell.com/cell-host-microbe/home,,
Cell Metabolism,CELL METAB,6/203,6/207,1550-4131,1932-7420,Cell Biology; Endocrinology,73683,37,Q1,6.01,30.97,SCIE,https://www.cell.com/cell-metabolism/home,,
Cell Reports,CELL REP,32/203,44/207,2211-1247,2639-1856,Cell Biology,115058,7.7,Q1,1.14,99.91,SCIE,https://www.cell.com/cell-reports/home,,
Cell Systems,CELL SYST,14/319,45/328,2405-4712,2405-4720,Cell Biology; Computational Biology,12040,7.5,Q1,1.27,32.06,SCIE,https://www.cell.com/cell-systems/home,,
Chem,CHEM,3/179,4/185,2451-9294,2451-9308,"Chemistry, Multidisciplinary",29348,23.5,Q1,3.28,29.55,SCIE,https://www.cell.com/chem/home,,
Chem Catalysis,.,,.,2667-1093,2667-1107,"Chemistry, Physical",2547,11.2,Q1,1.02,100,ESCI,https://www.cell.com/chem-catalysis/home,,
Current Biology,CURR BIOL,24/319,44/328,0960-9822,1879-0445,Biology,85734,7.7,Q1,1.46,38.97,SCIE,https://www.cell.com/current-biology/home,,
Developmental Cell,DEV CELL,19/203,32/207,1534-5807,1878-1551,Developmental Biology; Cell Biology,37205,9.2,Q1,2.24,33.98,SCIE,https://www.cell.com/developmental-cell/home,,
Device,DEVICE,.,.,2666-9986,2666-9994,"Engineering, Multidisciplinary; Applied Physics",1049,9.4,Q1,0.89,100,ESCI,https://www.cell.com/device/home,,
Immunity,IMMUNITY,1/162,1/170,1074-7613,1097-4180,Immunology,76683,30.5,Q1,6.44,41.09,SCIE,https://www.cell.com/immunity/home,,
Joule,JOULE,2/179,3/185,2542-4351,2542-4785,Energy & Fuels; Materials Science,26119,38.6,Q1,4.17,15.33,SCIE,https://www.cell.com/joule/home,,
Matter,MATTER,.,.,2590-2385,2590-2393,"Materials Science, Multidisciplinary",10717,17.3,Q1,2.07,21.17,SCIE,https://www.cell.com/matter/home,,
Med,MED-CAMBRIDGE,9/187,14/191,2666-6359,2666-6340,"Medicine, Research & Experimental",3592,13.3,Q1,2.72,36.65,ESCI,https://www.cell.com/med/home,,
Molecular Cell,MOL CELL,5/319,12/328,1097-2765,1097-4164,Biochemistry & Molecular Biology; Cell Biology,88599,16,Q1,2.6,39.49,SCIE,https://www.cell.com/molecular-cell/home,,
Neuron,NEURON,6/320,8/330,0896-6273,1097-4199,Neuroscience,108660,16.9,Q1,3.79,35.44,SCIE,https://www.cell.com/neuron/home,,
One Earth,ONE EARTH,.,.,2590-3330,2590-3322,Environmental Sciences,4695,15.1,Q1,1.79,27.35,SCIE,https://www.cell.com/one-earth/home,,
Structure,STRUCTURE,45/319,62/328,0969-2126,1878-4186,Biochemistry & Molecular Biology; Biophysics,14168,5,Q2,1.03,30.79,SCIE,https://www.cell.com/structure/home,,
Trends in Biochemical Sciences,TRENDS BIOCHEM SCI,11/319,16/328,0968-0004,1362-4326,Biochemistry & Molecular Biology,20954,14.4,Q1,1.18,32.23,SCIE,https://www.cell.com/trends/biochemical-sciences/home,,
Trends in Biotechnology,TRENDS BIOTECHNOL,5/175,3/180,0167-7799,1879-3096,Biotechnology & Applied Microbiology,21544,16.6,Q1,1.64,28.57,SCIE,https://www.cell.com/trends/biotechnology/home,,
Trends in Cancer,TRENDS CANCER,.,.,2405-8025,2405-8033,Oncology,4930,11.2,Q1,1.98,27.91,SCIE,https://www.cell.com/trends/cancer/home,,
Trends in Cell Biology,TRENDS CELL BIOL,12/203,8/207,0962-8924,1879-3088,Cell Biology,21812,25.3,Q1,1.64,26.76,SCIE,https://www.cell.com/trends/cell-biology/home,,
Trends in Chemistry,TRENDS CHEM,.,.,2589-5974,2589-5974,"Chemistry, Multidisciplinary",4326,12.7,Q1,1.86,20.36,SCIE,https://www.cell.com/trends/chemistry/home,,
Trends in Cognitive Sciences,TRENDS COGN SCI,1/55,1/57,1364-6613,1879-307X,Psychology; Cognitive Science,40204,20.3,Q1,2.54,34.8,SCIE,https://www.cell.com/trends/cognitive-sciences/home,,
