期刊名称,期刊简称,aisRank,jifRank,ISSN,EISSN,学科门类,总引用次数,影响因子,分区,jci,percentageOAGold,数据库
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,1/203,1/207,1471-0072,1471-0080,CELL BIOLOGY,83533.0,118.0,Q1,7.35,1.43,SCIE
LANCET,LANCET,1/315,1/336,0140-6736,1474-547X,"MEDICINE, GENERAL & INTERNAL",378842.0,109.0,Q1,23.89,25.49,SCIE
NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,1/175,1/180,1474-1776,1474-1784,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,57448.0,91.2,Q1,10.92,6.48,SCIE
NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,2/315,2/336,0028-4793,1533-4406,"MEDICINE, GENERAL & INTERNAL",414591.0,84.5,Q1,20.92,0.55,SCIE
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,3/319,1/328,2095-9907,2059-3635,BIOCHEMISTRY & MOLECULAR BIOLOGY,88969.0,81.2,Q1,6.13,100.0,SCIE
Nature Reviews Disease Primers,NAT REV DIS PRIMERS,3/315,3/336,2056-676X,2056-676X,"MEDICINE, GENERAL & INTERNAL",45742.0,79.8,Q1,16.97,1.74,SCIE
World Psychiatry,WORLD PSYCHIATRY,1/285,1/293,1723-8617,2051-5545,PSYCHIATRY,17298.0,79.5,Q1,15.21,1.59,"SCIE, SSCI"
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,4/315,4/336,0098-7484,1538-3598,"MEDICINE, GENERAL & INTERNAL",205027.0,65.4,Q1,11.42,0.94,SCIE
NATURE,NATURE,1/135,1/140,0028-0836,1476-4687,MULTIDISCIPLINARY SCIENCES,1053832.0,56.1,Q1,10.84,53.07,SCIE
CANCER CELL,CANCER CELL,4/203,3/207,1535-6108,1878-3686,CELL BIOLOGY,64398.0,56.1,Q1,8.22,41.76,SCIE
BMJ-British Medical Journal,BMJ-BRIT MED J,5/315,5/336,0959-535X,1756-1833,"MEDICINE, GENERAL & INTERNAL",188624.0,55.1,Q1,8.91,76.76,SCIE
LANCET NEUROLOGY,LANCET NEUROL,1/285,1/296,1474-4422,1474-4465,CLINICAL NEUROLOGY,59391.0,54.6,Q1,12.67,16.97,SCIE
