subject_id,modality,qc_status,qc_metric,qc_value,reason
sub-ISM035_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-ISM035_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-ISM036_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-ISM036_ses-mri1_task-sleep0,all,unknown,,,QC file missing
sub-ISM036_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-ISM037_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-ISM038_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-ISM038_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-ISM039_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-ISM039_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-ISM040_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-ISM040_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-ISM041_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-ISM042_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-ISM042_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-ISM043_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-ISM043_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-ISM044_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-ISM044_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-ISM045_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-ISM045_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-ISMHC009_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-ISMHC009_ses-mri0_task-sleep1,all,unknown,,,QC file missing
sub-ISMHC009_ses-mri0_task-sleep2,all,unknown,,,QC file missing
sub-ISMHC020_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-ISMHC030_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ001_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ001_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ002_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ003_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ003_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ004_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ004_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ005_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ005_ses-mri0_task-sleep1,all,unknown,,,QC file missing
sub-YZ005_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ006_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ007_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ007_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ008_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ008_ses-mri1_task-sleep0,all,unknown,,,QC file missing
sub-YZ008_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ009_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ009_ses-mri1_task-sleep0,all,unknown,,,QC file missing
sub-YZ009_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ011_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ012_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ012_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ013_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ013_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ014_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ014_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ015_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ015_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ016_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ016_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ017_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ017_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ018_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ018_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ019_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ019_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ020_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ020_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ021_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ021_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ022_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ022_ses-mri1_task-sleep0,all,unknown,,,QC file missing
sub-YZ022_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ022_ses-mri1_task-sleep2,all,unknown,,,QC file missing
sub-YZ022_ses-mri1_task-sleep3,all,unknown,,,QC file missing
sub-YZ023_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZ023_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZ024_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZHC002_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZHC003_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZHC003_ses-mri0_task-sleep1,all,unknown,,,QC file missing
sub-YZHC003_ses-mri0_task-sleep2,all,unknown,,,QC file missing
sub-YZHC003_ses-mri0_task-sleep3,all,unknown,,,QC file missing
sub-YZHC003_ses-mri1_task-sleep1,all,unknown,,,QC file missing
sub-YZHC003_ses-mri2_task-sleep2,all,unknown,,,QC file missing
sub-YZHC004_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZHC005_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZHC006_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZHC009_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZHC010_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZHC013_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZHC014_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZHC017_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZHC018_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZHC019_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZHC021_ses-mri0_task-sleep0,all,unknown,,,QC file missing
sub-YZHC022_ses-mri0_task-sleep0,all,unknown,,,QC file missing
