paper_id,canonical_paper_id,title,title_normalized,title_hash,abstract,year,doi,pmid,pmcid,semantic_scholar_id,openalex_id,crossref_id,journal,journal_normalized,first_author,publication_type,authors,keywords,mesh_terms,citation_count,citation_source,citation_sources,citation_count_age_normalized,is_open_access,open_access_url,journal_priority_score,journal_domain,jcr_categories,retrieval_channels,source_providers,duplicate_group_id,merged_from,url,source,created_at,updated_at
doi:10.1001/archgenpsychiatry.2012.147,doi:10.1001/archgenpsychiatry.2012.147,Reduced Natural Oscillatory Frequency of Frontal Thalamocortical Circuits in Schizophrenia,reduced natural oscillatory frequency of frontal thalamocortical circuits in schizophrenia,303cc912a20b935ab204fdeb2b421b9cdbd26c3b,"CONTEXT: Converging evidence from electrophysiological studies suggests that in individuals with schizophrenia, electroencephalographic frontal fast oscillations are reduced. It is still unclear whether this reduction reflects an intrinsic deficit of underlying cortical/thalamocortical circuits and whether this deficit is specific for frontal regions. Recent electrophysiological studies in healthy individuals have established that, when perturbed, different brain regions oscillate at a specific, intrinsically generated dominant frequency, the natural frequency. OBJECTIVE: To assess the natural frequency of the posterior parietal, motor, premotor, and prefrontal cortices in patients with schizophrenia and healthy control subjects. DESIGN: High-density electroencephalographic recordings during transcranial magnetic stimulation of 4 cortical areas were performed. Several transcranial magnetic stimulation–evoked electroencephalographic oscillation parameters, including synchronization, amplitude, and natural frequency, were compared across the schizophrenia and healthy control groups. SETTING: Wisconsin Psychiatric Institute and Clinic, University of Wisconsin–Madison. PARTICIPANTS: Twenty patients with schizophrenia and 20 age-matched healthy control subjects. MAIN OUTCOME MEASURES: High-density electroencephalographic measurements of transcranial magnetic stimulation–evoked activity in 4 cortical areas, scores on the Positive and Negative Syndrome Scale, and performance scores (reaction time, accuracy) on 2 computerized tasks (word memory [Penn Word Recognition Test] and facial memory [Penn Facial Memory Test]). RESULTS: Patients with schizophrenia showed a slowing in the natural frequency of the frontal/prefrontal regions compared with healthy control subjects (from an average of a 2-Hz decrease for the motor area to an almost 10-Hz decrease for the prefrontal cortex). The prefrontal natural frequency of individuals with schizophrenia was slower than in any healthy comparison subject and correlated with both positive Positive and Negative Syndrome Scale scores and reaction time on the Penn Word Recognition Test. CONCLUSIONS: These findings suggest that patients with schizophrenia have an intrinsic slowing in the natural frequency of frontal cortical/thalamocortical circuits, that this slowing is not present in parietal areas, and that the prefrontal natural frequency can predict some of the symptoms as well as the cognitive dysfunctions of schizophrenia.",2012,10.1001/archgenpsychiatry.2012.147,,,,,,Archives of General Psychiatry,archives general psychiatry,Fabio Ferrarelli,,"[""Fabio Ferrarelli"", ""Simone Sarasso"", ""Yelena Guller"", ""Brady A. Riedner"", ""Michael J. Peterson"", ""Michele Bellesi"", ""Marcello Massimini"", ""Bradley R. Postle"", ""Giulio Tononi""]",[],[],178,openalex,"[""openalex""]",11.867,True,,,[],[],"[""api_broad""]","[""openalex""]",,[],https://openalex.org/W2142341342,api:openalex,2026-07-23T10:00:15.102223,2026-07-23T10:00:15.102224
doi:10.1001/archinte.164.4.406,doi:10.1001/archinte.164.4.406,"The Effects of Age, Sex, Ethnicity, and Sleep-Disordered Breathing on Sleep Architecture",the effects of age sex ethnicity and sleep disordered breathing on sleep architecture,9ec2c1f4082d7e7c77a15a02001743ad331787fb,"BACKGROUND: Polysomnography is used to assess sleep quality and to gauge the functional effect of sleep disorders. Few population-based data are available to estimate the variation in sleep architecture across the population and the extent to which sleep-disordered breathing (SDB), a common health condition, contributes to poor sleep independent of other factors. The objective of this study was to describe the population variability in sleep quality and to quantify the independent associations with SDB. METHODS: Cross-sectional analyses were performed on data from 2685 participants, aged 37 to 92 years, in a community-based multicenter cohort study. Dependent measures included the percentage time in each sleep stage, the arousal index, and sleep efficiency. Independent measures were age, sex, ethnicity, comorbidity status, and the respiratory disturbance index. RESULTS: Lighter sleep was found in men relative to women and in American Indians and blacks relative to other ethnic groups. Increasing age was associated with impaired sleep in men, with less consistent associations in women. Notably, women had, on average, 106% more slow wave sleep. Sleep-disordered breathing was associated with poorer sleep; however, these associations were generally smaller than associations with sex, ethnicity, and age. Current smokers had lighter sleep than ex-smokers or never smokers. Obesity had little effect on sleep. CONCLUSIONS: Sleep architecture varies with sex, age, ethnicity, and SDB. Individual assessment of the effect of SDB on sleep quality needs to account for other host characteristics. Men, but not women, show evidence of poorer sleep with aging, suggesting important sex differences in sleep physiology.",2004,10.1001/archinte.164.4.406,,,,,,Archives of Internal Medicine,archives internal medicine,Susan Redline,,"[""Susan Redline"", ""H. Lester Kirchner"", ""Stuart F. Quan"", ""Daniel J. Gottlieb"", ""Vishesh K. Kapur"", ""Anne B. Newman""]",[],[],733,openalex,"[""openalex""]",31.87,False,,,[],[],"[""api_broad""]","[""openalex""]",,[],https://openalex.org/W2139496586,api:openalex,2026-07-23T10:00:27.993520,2026-07-23T10:00:27.993522
doi:10.1001/archpsyc.1987.01800130038006,doi:10.1001/archpsyc.1987.01800130038006,"Electroencephalographic Sleep in Young, Never-Medicated Schizophrenics",electroencephalographic sleep in young never medicated schizophrenics,9b6c7cd145e472893da2759e4b148975001b14e5,"Electroencephalographic (EEG) sleep characteristics of young, never-medicated, nonschizoaffective schizophrenics were compared with the EEG sleep of patients with major depressive disorders (delusional and nondelusional) and with that of healthy controls. Schizophrenics had decreased sleep continuity comparable to delusional depressives. Slow-wave sleep percent was similar to that seen in healthy controls, as was the intranight temporal distribution of EEG delta activity. However, schizophrenics showed diminished delta counts per minute of non-rapid eye movement (NREM) sleep and a decreased total delta wave count. In contrast, depressives showed diminished slow-wave sleep percent compared with controls, greatly decreased delta activity (more so than did the schizophrenics), and an altered temporal distribution of delta activity, as evidenced by a shift of delta activity from the first to the second NREM period. Minutes of slow-wave sleep in the schizophrenics was inversely correlated with the severity of negative symptoms independent of the effects of age and the presence of depression. The schizophrenics showed normal REM latency and first REM period duration, in contrast to the depressives. These findings, reviewed in the historical context of sleep physiologic studies of schizophrenia over the past 30 years, suggest that young, never-medicated schizophrenics do not show the characteristic constellation of abnormalities in the first NREM-REM cycle seen in patients with major depression. However, decreased slow-wave sleep should be investigated as a possible marker for negative symptoms in schizophrenia.",1987,10.1001/archpsyc.1987.01800130038006,,,,,,Archives of General Psychiatry,archives general psychiatry,Rohan Ganguli,,"[""Rohan Ganguli""]",[],[],198,openalex,"[""openalex""]",4.95,False,,,[],[],"[""api_broad""]","[""openalex""]",,[],https://openalex.org/W2020669188,api:openalex,2026-07-23T10:00:13.281822,2026-07-23T10:00:13.281823
doi:10.1001/archpsyc.60.11.1069,doi:10.1001/archpsyc.60.11.1069,Differences and similarities in insular and temporal pole MRI gray matter volume abnormalities in first-episode schizophrenia and affective psychosis.,differences and similarities in insular and temporal pole mri gray matter volume abnormalities in first episode schizophrenia and affective psychosis,b1010b2a497776f96f3a12f171bddcb25fa34725,,2003,10.1001/archpsyc.60.11.1069,14609882,,,,,Archives of General Psychiatry,archives general psychiatry,K. Kasai,,"[""K. Kasai"", ""M. Shenton"", ""D. Salisbury"", ""T. Onitsuka"", ""Sarah K. Toner"", ""D. Yurgelun-Todd"", ""R. Kikinis"", ""F. Jolesz"", ""R. McCarley""]",[],[],176,semantic_scholar,"[""semantic_scholar""]",7.333,False,,,[],[],"[""api_broad""]","[""semantic_scholar""]",,[],https://www.semanticscholar.org/paper/b21c10373c7a97536146ea7565b3a669668021fd,api:semantic_scholar,2026-07-23T10:03:51.563657,2026-07-23T10:03:51.563658
doi:10.1001/jama.2009.682,doi:10.1001/jama.2009.682,"Cognitive Behavioral Therapy, Singly and Combined With Medication, for Persistent Insomnia",cognitive behavioral therapy singly and combined with medication for persistent insomnia,c1392d70c36e771094021d1f982f8be0ef640c8e,"CONTEXT: Cognitive behavioral therapy (CBT) and hypnotic medications are efficacious for short-term treatment of insomnia, but few patients achieve complete remission with any single treatment. It is unclear whether combined or maintenance therapies would enhance outcome. OBJECTIVES: To evaluate the added value of medication over CBT alone for acute treatment of insomnia and the effects of maintenance therapies on long-term outcome. DESIGN, SETTING, AND PATIENTS: Prospective, randomized controlled trial involving 2-stage therapy for 160 adults with persistent insomnia treated at a university hospital sleep center in Canada between January 2002 and April 2005. INTERVENTIONS: Participants received CBT alone or CBT plus 10 mg/d (taken at bedtime) of zolpidem for an initial 6-week therapy, followed by extended 6-month therapy. Patients initially treated with CBT attended monthly maintenance CBT for 6 months or received no additional treatment and those initially treated with combined therapy (CBT plus 10 mg/d of zolpidem) continued with CBT plus intermittent use of zolpidem or CBT only. MAIN OUTCOME MEASURES: Sleep onset latency, time awake after sleep onset, total sleep time, and sleep efficiency derived from daily diaries (primary outcomes); treatment response and remission rates derived from the Insomnia Severity Index (secondary outcomes). RESULTS: Cognitive behavioral therapy used singly or in combination with zolpidem produced significant improvements in sleep latency, time awake after sleep onset, and sleep efficiency during initial therapy (all P<.001); a larger increase of sleep time was obtained with the combined approach (P = .04). Both CBT alone and CBT plus zolpidem produced similar rates of treatment responders (60% [45/75] vs 61% [45/74], respectively; P = .84) and treatment remissions (39% [29/75] vs 44% [33/74], respectively; P = .52) with the 6-week acute treatment, but combined therapy produced a higher remission rate compared with CBT alone during the 6-month extended therapy phase and the 6-month follow-up period (56% [43/74 and 32/59] vs 43% [34/75 and 28/68]; P = .05). The best long-term outcome was obtained with patients treated with combined therapy initially, followed by CBT alone, as evidenced by higher remission rates at the 6-month follow-up compared with patients who continued to take zolpidem during extended therapy (68% [20/30] vs 42% [12/29]; P = .04). CONCLUSION: In patients with persistent insomnia, the addition of medication to CBT produced added benefits during acute therapy, but long-term outcome was optimized when medication is discontinued during maintenance CBT. TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT00042146.",2009,10.1001/jama.2009.682,,,,,,JAMA,jama,Charles M. Morin,,"[""Charles M. Morin"", ""Annie Vallières"", ""Bernard Guay"", ""Hans Ivers"", ""Josée Savard"", ""Chantal Mérette"", ""Célyne Bastien"", ""Lucie Baillargeon""]",[],[],787,openalex,"[""openalex""]",43.722,True,,,[],[],"[""api_broad""]","[""openalex""]",,[],https://openalex.org/W2048458454,api:openalex,2026-07-23T10:00:35.337056,2026-07-23T10:00:35.337058
doi:10.1001/jama.2017.8334,doi:10.1001/jama.2017.8334,Clinicopathological Evaluation of Chronic Traumatic Encephalopathy in Players of American Football,clinicopathological evaluation of chronic traumatic encephalopathy in players of american football,9f05d20552c6ae0fbdcbd2a32c5548642e91c7ef,"Importance: Players of American football may be at increased risk of long-term neurological conditions, particularly chronic traumatic encephalopathy (CTE). Objective: To determine the neuropathological and clinical features of deceased football players with CTE. Design, Setting, and Participants: Case series of 202 football players whose brains were donated for research. Neuropathological evaluations and retrospective telephone clinical assessments (including head trauma history) with informants were performed blinded. Online questionnaires ascertained athletic and military history. Exposures: Participation in American football at any level of play. Main Outcomes and Measures: Neuropathological diagnoses of neurodegenerative diseases, including CTE, based on defined diagnostic criteria; CTE neuropathological severity (stages I to IV or dichotomized into mild [stages I and II] and severe [stages III and IV]); informant-reported athletic history and, for players who died in 2014 or later, clinical presentation, including behavior, mood, and cognitive symptoms and dementia. Results: Among 202 deceased former football players (median age at death, 66 years [interquartile range, 47-76 years]), CTE was neuropathologically diagnosed in 177 players (87%; median age at death, 67 years [interquartile range, 52-77 years]; mean years of football participation, 15.1 [SD, 5.2]), including 0 of 2 pre-high school, 3 of 14 high school (21%), 48 of 53 college (91%), 9 of 14 semiprofessional (64%), 7 of 8 Canadian Football League (88%), and 110 of 111 National Football League (99%) players. Neuropathological severity of CTE was distributed across the highest level of play, with all 3 former high school players having mild pathology and the majority of former college (27 [56%]), semiprofessional (5 [56%]), and professional (101 [86%]) players having severe pathology. Among 27 participants with mild CTE pathology, 26 (96%) had behavioral or mood symptoms or both, 23 (85%) had cognitive symptoms, and 9 (33%) had signs of dementia. Among 84 participants with severe CTE pathology, 75 (89%) had behavioral or mood symptoms or both, 80 (95%) had cognitive symptoms, and 71 (85%) had signs of dementia. Conclusions and Relevance: In a convenience sample of deceased football players who donated their brains for research, a high proportion had neuropathological evidence of CTE, suggesting that CTE may be related to prior participation in football.",2017,10.1001/jama.2017.8334,,,,,,JAMA,jama,Jesse Mez,,"[""Jesse Mez"", ""Daniel H. Daneshvar"", ""Patrick T. Kiernan"", ""Bobak Abdolmohammadi"", ""Victor E. Alvarez"", ""Bertrand R. Huber"", ""Michael L. Alosco"", ""Todd M. Solomon"", ""Christopher J. Nowinski"", ""Lisa McHale"", ""Kerry A. Cormier"", ""Caroline A. Kubilus"", ""Brett Martin"", ""Lauren Murphy"", ""Christine M. Baugh"", ""Phillip H. Montenigro"", ""Christine E. Chaisson"", ""Yorghos Tripodis"", ""Neil W. Kowall"", ""Jennifer Weuve"", ""Michael D. McClean"", ""Robert C. Cantu"", ""Lee E. Goldstein"", ""Douglas I. Katz"", ""Robert A. Stern"", ""Thor D. Stein"", ""Ann C. McKee""]",[],[],1096,openalex,"[""openalex""]",109.6,True,,,[],[],"[""api_broad""]","[""openalex""]",,[],https://openalex.org/W2750121529,api:openalex,2026-07-23T10:00:26.046836,2026-07-23T10:00:26.046838
doi:10.1001/jama.295.13.1539,doi:10.1001/jama.295.13.1539,"Effect of 6-Month Calorie Restriction on Biomarkers of Longevity, Metabolic Adaptation, and Oxidative Stress in Overweight Individuals",effect of 6 month calorie restriction on biomarkers of longevity metabolic adaptation and oxidative stress in overweight individuals,5cccb374ad14c52e1d47ea0ca6759b3837d4b989,"CONTEXT: Prolonged calorie restriction increases life span in rodents. Whether prolonged calorie restriction affects biomarkers of longevity or markers of oxidative stress, or reduces metabolic rate beyond that expected from reduced metabolic mass, has not been investigated in humans. OBJECTIVE: To examine the effects of 6 months of calorie restriction, with or without exercise, in overweight, nonobese (body mass index, 25 to <30) men and women. DESIGN, SETTING, AND PARTICIPANTS: Randomized controlled trial of healthy, sedentary men and women (N = 48) conducted between March 2002 and August 2004 at a research center in Baton Rouge, La. INTERVENTION: Participants were randomized to 1 of 4 groups for 6 months: control (weight maintenance diet); calorie restriction (25% calorie restriction of baseline energy requirements); calorie restriction with exercise (12.5% calorie restriction plus 12.5% increase in energy expenditure by structured exercise); very low-calorie diet (890 kcal/d until 15% weight reduction, followed by a weight maintenance diet). MAIN OUTCOME MEASURES: Body composition; dehydroepiandrosterone sulfate (DHEAS), glucose, and insulin levels; protein carbonyls; DNA damage; 24-hour energy expenditure; and core body temperature. RESULTS: Mean (SEM) weight change at 6 months in the 4 groups was as follows: controls, -1.0% (1.1%); calorie restriction, -10.4% (0.9%); calorie restriction with exercise, -10.0% (0.8%); and very low-calorie diet, -13.9% (0.7%). At 6 months, fasting insulin levels were significantly reduced from baseline in the intervention groups (all P<.01), whereas DHEAS and glucose levels were unchanged. Core body temperature was reduced in the calorie restriction and calorie restriction with exercise groups (both P<.05). After adjustment for changes in body composition, sedentary 24-hour energy expenditure was unchanged in controls, but decreased in the calorie restriction (-135 kcal/d [42 kcal/d]), calorie restriction with exercise (-117 kcal/d [52 kcal/d]), and very low-calorie diet (-125 kcal/d [35 kcal/d]) groups (all P<.008). These ""metabolic adaptations"" (~ 6% more than expected based on loss of metabolic mass) were statistically different from controls (P<.05). Protein carbonyl concentrations were not changed from baseline to month 6 in any group, whereas DNA damage was also reduced from baseline in all intervention groups (P <.005). CONCLUSIONS: Our findings suggest that 2 biomarkers of longevity (fasting insulin level and body temperature) are decreased by prolonged calorie restriction in humans and support the theory that metabolic rate is reduced beyond the level expected from reduced metabolic body mass. Studies of longer duration are required to determine if calorie restriction attenuates the aging process in humans. TRIAL REGISTRATION: ClinicalTrials.gov Identifier: NCT00099151.",2006,10.1001/jama.295.13.1539,,,,,,JAMA,jama,Leonie K. Heilbronn,,"[""Leonie K. Heilbronn"", ""Lilian de Jonge"", ""Madlyn I. Frisard"", ""James P. DeLany"", ""D. Enette Larson‐Meyer"", ""Jennifer Rood"", ""Tuong Nguyen"", ""Corby K. Martin"", ""Júlia Vólaufová"", ""Marlene M. Most"", ""Frank L. Greenway"", ""Steven R. Smith"", ""Walter Deutsch"", ""Donald A. Williamson"", ""Éric Ravussin"", ""for the Pennington CALERIE Team""]",[],[],981,openalex,"[""openalex""]",46.714,True,,,[],[],"[""api_broad""]","[""openalex""]",,[],https://openalex.org/W2117879192,api:openalex,2026-07-23T10:00:25.065923,2026-07-23T10:00:25.065925
doi:10.1001/jamanetworkopen.2019.9891,doi:10.1001/jamanetworkopen.2019.9891,Sleep Duration and Sleep Quality in Caregivers of Patients With Dementia,sleep duration and sleep quality in caregivers of patients with dementia,0b50bced0b38f91008d0fc1006d5eda4286227cd,"Importance: In the United States, 16 million family caregivers provide long-term care for patients with dementia. Although one's physical, mental, and cognitive health depends on sleep, many caregivers experience chronic stress, and stress is typically associated with worse sleep quantity and quality. Objective: To quantify the extent, nature, and treatability of sleep problems in dementia caregivers. Data Sources: PubMed and Scopus databases were systematically searched for articles published through June 2018 using the following keywords: caregiver or spouse or caretaker AND sleep or circadian AND dementia or Alzheimer. Backward citation tracking was performed, and corresponding authors were contacted for additional data to conduct meta-analyses and pooled analyses. Study Selection: Two reviewers independently screened 805 studies to identify those that reported sleep duration or sleep quality in caregivers of patients with dementia. Data Extraction and Synthesis: Following the PRISMA guidelines, 2 reviewers independently extracted data from all studies and conducted National Heart, Lung, and Blood Institute study quality assessments. Meta-analyses with random-effects models were performed to evaluate sleep duration, sleep quality, and sleep interventions in dementia caregivers. Main Outcomes and Measures: Sleep quality and total sleep time were measured by polysomnography, actigraphy, and self-report. Results: Thirty-five studies were analyzed with data from 3268 caregivers (pooled mean age [SD of sample means], 63.48 [5.99] years; 76.7% female) were analyzed. Relative to age-matched control noncaregiver adults, caregivers had lower sleep durations akin to losing 2.42 to 3.50 hours each week (Hedges g = -0.29; 95% CI, -0.48 to -0.09; P = .01). Sleep quality was significantly lower in caregivers (Hedges g = -0.66; 95% CI, -0.89 to -0.42; P < .001), but caregivers who underwent sleep intervention trials had better sleep quality than caregivers who did not receive a sleep intervention (Hedges g = 0.35; 95% CI, 0.20-0.49; P < .001). Conclusions and Relevance: Sleep debt is known to have cumulative associations with physical, mental, and cognitive health; therefore, poor sleep quality in dementia caregivers should be recognized and addressed. Although the caregiving role is stressful and cognitively demanding by its nature, better sleep quality was observed in caregivers who received low-cost behavioral interventions.",2019,10.1001/jamanetworkopen.2019.9891,,,,,,JAMA Network Open,jama network open,Chenlu Gao,,"[""Chenlu Gao"", ""Nikita Chapagain"", ""Michael K. Scullin""]",[],[],192,openalex,"[""openalex""]",24.0,True,,,[],[],"[""api_broad""]","[""openalex""]",,[],https://openalex.org/W2969597226,api:openalex,2026-07-23T10:00:42.825605,2026-07-23T10:00:42.825607
doi:10.1001/jamanetworkopen.2020.4063,doi:10.1001/jamanetworkopen.2020.4063,Association of Pediatric Acute-Onset Neuropsychiatric Syndrome With Microstructural Differences in Brain Regions Detected via Diffusion-Weighted Magnetic Resonance Imaging.,association of pediatric acute onset neuropsychiatric syndrome with microstructural differences in brain regions detected via diffusion weighted magnetic resonance imaging,ef25085afc6e0e104a0db5505da3c261b0f3f83c,,2020,10.1001/jamanetworkopen.2020.4063,32364596,,,,,JAMA network open,jama network open,Zheng J,,"[""Zheng J"", ""Frankovich J"", ""McKenna ES"", ""Rowe NC"", ""MacEachern SJ"", ""Ng NN"", ""Tam LT"", ""Moon PK"", ""Gao J"", ""Thienemann M"", ""Forkert ND"", ""Yeom KW""]",[],[],,,[],,,,,[],[],"[""api_broad""]","[""pubmed""]",,[],https://pubmed.ncbi.nlm.nih.gov/32364596/,api:pubmed,2026-07-23T09:52:46.972221,2026-07-23T09:52:46.972222
doi:10.1001/jamanetworkopen.2023.25152,doi:10.1001/jamanetworkopen.2023.25152,"Sleep Architecture, Obstructive Sleep Apnea, and Cognitive Function in Adults.",sleep architecture obstructive sleep apnea and cognitive function in adults,f5a54f62edcc05d4e23ffc3c2b490fb9630a01a2,,2023,10.1001/jamanetworkopen.2023.25152,37462968,,,,,JAMA network open,jama network open,Pase MP,,"[""Pase MP"", ""Harrison S"", ""Misialek JR"", ""Kline CE"", ""Cavuoto M"", ""Baril AA"", ""Yiallourou S"", ""Bisson A"", ""Himali D"", ""Leng Y"", ""Yang Q"", ""Seshadri S"", ""Beiser A"", ""Gottesman RF"", ""Redline S"", ""Lopez O"", ""Lutsey PL"", ""Yaffe K"", ""Stone KL"", ""Purcell SM"", ""Himali JJ""]",[],[],,,[],,,,,[],[],"[""api_broad""]","[""pubmed""]",,[],https://pubmed.ncbi.nlm.nih.gov/37462968/,api:pubmed,2026-07-23T09:52:45.189765,2026-07-23T09:52:45.189766
