window_index,start_frame,end_frame,mean_abs_r,mean_r
0,0,60,0.25389241792352896,0.1940174748768848
1,15,75,0.27563264725747927,0.15180624549703436
2,30,90,0.27396454867640446,0.1613867390334067
3,45,105,0.2845890233446356,0.10426781618285455
4,60,120,0.2576423131493915,0.08712780729403781
5,75,135,0.22701134083721045,0.07812404534204034
6,90,150,0.22589225761725823,0.06030754769477953
7,105,165,0.2337135623549806,0.07205416606019997
8,120,180,0.23080067441525373,0.05519438429754576
9,135,195,0.21214450290766454,0.0495339536390536
10,150,210,0.22982300750917553,0.05046925498438039
11,165,225,0.2468100675939313,0.10208968047984433
12,180,240,0.2394679427999949,0.09282362854980956
13,195,255,0.21840116614164057,0.07170263259762044
14,210,270,0.20799995124623064,0.04927093103422948
15,225,285,0.21924040875471473,0.0505152198385038
16,240,300,0.3054519661480482,0.14811877967291603
17,255,315,0.37737474333354687,0.2952267861298625
18,270,330,0.3579747278463924,0.3231673423342668
19,285,345,0.24475582277586472,0.19679366517131708
20,300,360,0.2372230769284788,0.19332028937578105
21,315,375,0.21964747500009904,0.19502311018314547
22,330,390,0.19439607356726618,0.07561884700964072
23,345,405,0.1952502606804036,0.0868477760782507
24,360,420,0.2303357647964666,0.08292748407662176
25,375,435,0.2449752782047567,0.11474397629963959
26,390,450,0.24847499355914518,0.0850660715266394
27,405,465,0.3119132305581949,0.041236838319795466
28,420,480,0.2969341261991455,0.07753045706834567
29,435,495,0.2870248206523248,0.08432146196912613
30,450,510,0.25372864402559375,0.05112166274544676
31,465,525,0.2071315444943321,0.08835215019811285
32,480,540,0.19061639926029814,0.10278149241833603
33,495,555,0.21319338457736842,0.15033725020322544
34,510,570,0.2292449366520706,0.14459772785019173
35,525,585,0.23278770192481837,0.13511099981733704
36,540,600,0.24730188541516568,0.12923092042458786
37,555,615,0.26270087466700653,0.07813297559520489
38,570,630,0.2617866516426963,0.10309524279097734
39,585,645,0.26698707970158464,0.14571698541439151
40,600,660,0.2771627515106178,0.11635371442032855
41,615,675,0.2682744393492708,0.11345389253127862
42,630,690,0.27824371391469194,0.10233326865821472
43,645,705,0.23629341749616428,0.034046135573779446
44,660,720,0.24181825456938225,0.08260446069850755
45,675,735,0.267381674256385,0.18405507535089866
46,690,750,0.22381554897245626,0.15093053247973504
47,705,765,0.22945905548211565,0.1394598285993207
48,720,780,0.24884539475925394,0.20037087667969927
49,735,795,0.29999789348730715,0.23843590399271267
50,750,810,0.3147129852456522,0.19521021448779227
51,765,825,0.2708096766215638,0.22248281622270133
52,780,840,0.2793003216383358,0.23193787050810885
53,795,855,0.24396652534542645,0.1315670269604104
54,810,870,0.21721132852633915,0.12595501683658003
55,825,885,0.23516230805326885,0.08132193981286087
56,840,900,0.22567915937163224,0.08657255343637855
57,855,915,0.21799505465654934,0.09716301680744471
58,870,930,0.2352084634201746,0.09212346234868131
59,885,945,0.2316861415836451,0.1050957217198195
60,900,960,0.2320774739535687,0.07430622571593516
61,915,975,0.23885905929014217,0.021434891363771028
62,930,990,0.23942189335522793,0.05398368692921576
63,945,1005,0.26851351762437914,0.11126438995705325
64,960,1020,0.28517028129020994,0.16555259775026043
65,975,1035,0.2822804793290581,0.17718186013405682
66,990,1050,0.272113174985818,0.15055532779467976
67,1005,1065,0.29974171887597273,0.25126242642568647
68,1020,1080,0.3020125461398985,0.24320629072749766
69,1035,1095,0.3370163100392622,0.2893547655283654
70,1050,1110,0.37444148891923035,0.3273976531446587
71,1065,1125,0.23420334279234514,0.12478275019964946
72,1080,1140,0.24435890242010633,0.10534603663431247
73,1095,1155,0.2518524138854879,0.12635992109641223
74,1110,1170,0.26099721264379117,0.15771790882770503
75,1125,1185,0.30266784142244996,0.254930549063095
76,1140,1200,0.3909843955031114,0.38077108213076705
