roi,region_name,x,y,z,coordinate_space,native_x,native_y,native_z
parcel_00,L-superiortemporal,-50.0,32.0,36.0,MNI152NLin2009cAsym,-54.903724670410156,15.434280395507812,13.494935035705566
parcel_01,L-supramarginal,-52.2903,-9.63929,47.3595,MNI152NLin2009cAsym,-54.903724670410156,-23.065719604492188,38.69493389129639
parcel_02,L-inferiorparietal,-34.0,-30.0,24.0,MNI152NLin2009cAsym,-37.403724670410156,-51.06571960449219,26.094934463500977
parcel_03,L-rostralmiddlefrontal,-22.0,38.0,56.0,MNI152NLin2009cAsym,-37.403724670410156,53.93428039550781,55.494933128356934
parcel_04,L-superiorparietal,-17.0534,-31.1251,44.8904,MNI152NLin2009cAsym,-19.903724670410156,-47.56571960449219,42.89493370056152
parcel_05,L-superiorfrontal,-8.0,24.0,68.0,MNI152NLin2009cAsym,-9.403724670410156,36.43428039550781,63.89493274688721
parcel_06,R-superiorfrontal,8.0,24.0,68.0,MNI152NLin2009cAsym,8.096275329589844,39.93428039550781,68.09493255615234
parcel_07,R-superiorparietal,34.002,-32.0001,44.6238,MNI152NLin2009cAsym,29.096275329589844,-47.56571960449219,42.89493370056152
parcel_08,R-rostralmiddlefrontal,22.0,38.0,56.0,MNI152NLin2009cAsym,32.596275329589844,57.43428039550781,51.2949333190918
parcel_09,R-inferiorparietal,55.5698,-28.081,33.5471,MNI152NLin2009cAsym,50.096275329589844,-44.06571960449219,30.294934272766113
parcel_10,R-superiortemporal,52.0,34.0,30.0,MNI152NLin2009cAsym,57.096275329589844,18.934280395507812,9.29493522644043
parcel_11,R-middletemporal,60.0,24.0,22.0,MNI152NLin2009cAsym,64.09627532958984,8.434280395507812,0.8949356079101562
