schema,table_name
public,audit_reports
public,build_runs
public,checkpoints
public,clinical_trials
public,corpus_versions
public,datasets
public,deduplication_events
public,diagnostic_terms
public,error_logs
public,guidelines
public,instruments
public,literature_abstract_versions
public,literature_candidates
public,literature_dedup_decisions
public,literature_fulltext_attempts
public,literature_fulltext_documents
public,literature_journal_scan_states
public,literature_paper_identifiers
public,literature_paper_relations
public,literature_paper_sources
public,literature_papers
public,literature_update_runs
public,paper_aliases
public,paper_sources
public,papers
public,queries
public,query_results
public,standards_rules
public,tools_methods
