clinical_anchor,feature,network_a,network_b,healthy_spearman_r,healthy_spearman_p,healthy_n,nonhealthy_spearman_r,nonhealthy_spearman_p,nonhealthy_n,group_fc_interaction_beta,group_fc_interaction_p,group_fc_interaction_n,nonhealthy_mechanism_direction,healthy_control_direction,nonhealthy_spearman_fdr_q,healthy_spearman_fdr_q,group_fc_interaction_fdr_q
ISI,thalamus_DMN_FC,thalamus,DMN,,,0,,,0,,,0,unknown,unknown,,,
ISI,thalamus_salience_FC,thalamus,salience,,,0,,,0,,,0,unknown,unknown,,,
ISI,thalamus_frontoparietal_FC,thalamus,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
ISI,DMN_salience_FC,DMN,salience,,,0,,,0,,,0,unknown,unknown,,,
ISI,DMN_frontoparietal_FC,DMN,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
ISI,salience_frontoparietal_FC,salience,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
ISI,DMN_FC,DMN,DMN,,,0,,,0,,,0,unknown,unknown,,,
ISI,salience_FC,salience,salience,,,0,,,0,,,0,unknown,unknown,,,
ISI,frontoparietal_FC,frontoparietal,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
PSQI,thalamus_DMN_FC,thalamus,DMN,,,0,,,0,,,0,unknown,unknown,,,
PSQI,thalamus_salience_FC,thalamus,salience,,,0,,,0,,,0,unknown,unknown,,,
PSQI,thalamus_frontoparietal_FC,thalamus,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
PSQI,DMN_salience_FC,DMN,salience,,,0,,,0,,,0,unknown,unknown,,,
PSQI,DMN_frontoparietal_FC,DMN,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
PSQI,salience_frontoparietal_FC,salience,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
PSQI,DMN_FC,DMN,DMN,,,0,,,0,,,0,unknown,unknown,,,
PSQI,salience_FC,salience,salience,,,0,,,0,,,0,unknown,unknown,,,
PSQI,frontoparietal_FC,frontoparietal,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
BAI,thalamus_DMN_FC,thalamus,DMN,,,0,,,0,,,0,unknown,unknown,,,
BAI,thalamus_salience_FC,thalamus,salience,,,0,,,0,,,0,unknown,unknown,,,
BAI,thalamus_frontoparietal_FC,thalamus,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
BAI,DMN_salience_FC,DMN,salience,,,0,,,0,,,0,unknown,unknown,,,
BAI,DMN_frontoparietal_FC,DMN,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
BAI,salience_frontoparietal_FC,salience,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
BAI,DMN_FC,DMN,DMN,,,0,,,0,,,0,unknown,unknown,,,
BAI,salience_FC,salience,salience,,,0,,,0,,,0,unknown,unknown,,,
BAI,frontoparietal_FC,frontoparietal,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
BDI,thalamus_DMN_FC,thalamus,DMN,,,0,,,0,,,0,unknown,unknown,,,
BDI,thalamus_salience_FC,thalamus,salience,,,0,,,0,,,0,unknown,unknown,,,
BDI,thalamus_frontoparietal_FC,thalamus,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
BDI,DMN_salience_FC,DMN,salience,,,0,,,0,,,0,unknown,unknown,,,
BDI,DMN_frontoparietal_FC,DMN,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
BDI,salience_frontoparietal_FC,salience,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
BDI,DMN_FC,DMN,DMN,,,0,,,0,,,0,unknown,unknown,,,
BDI,salience_FC,salience,salience,,,0,,,0,,,0,unknown,unknown,,,
BDI,frontoparietal_FC,frontoparietal,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
sleepiness,thalamus_DMN_FC,thalamus,DMN,,,0,,,0,,,0,unknown,unknown,,,
sleepiness,thalamus_salience_FC,thalamus,salience,,,0,,,0,,,0,unknown,unknown,,,
sleepiness,thalamus_frontoparietal_FC,thalamus,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
sleepiness,DMN_salience_FC,DMN,salience,,,0,,,0,,,0,unknown,unknown,,,
sleepiness,DMN_frontoparietal_FC,DMN,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
sleepiness,salience_frontoparietal_FC,salience,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
sleepiness,DMN_FC,DMN,DMN,,,0,,,0,,,0,unknown,unknown,,,
sleepiness,salience_FC,salience,salience,,,0,,,0,,,0,unknown,unknown,,,
sleepiness,frontoparietal_FC,frontoparietal,frontoparietal,,,0,,,0,,,0,unknown,unknown,,,
