subject_id,subject,fmri_qc_signal_GS_pre_mean,fmri_qc_signal_GS_post_mean,fmri_qc_signal_GS_mean_delta,fmri_qc_signal_GS_pre_sigma,fmri_qc_signal_GS_post_sigma,fmri_qc_signal_GS_sigma_delta,fmri_qc_signal_GS_sigma_reduction_percent,fmri_qc_signal_GS_pre_max,fmri_qc_signal_GS_post_max,fmri_qc_signal_CSF_pre_mean,fmri_qc_signal_CSF_post_mean,fmri_qc_signal_CSF_mean_delta,fmri_qc_signal_CSF_pre_sigma,fmri_qc_signal_CSF_post_sigma,fmri_qc_signal_CSF_sigma_delta,fmri_qc_signal_CSF_sigma_reduction_percent,fmri_qc_signal_CSF_pre_max,fmri_qc_signal_CSF_post_max,fmri_qc_signal_WM_pre_mean,fmri_qc_signal_WM_post_mean,fmri_qc_signal_WM_mean_delta,fmri_qc_signal_WM_pre_sigma,fmri_qc_signal_WM_post_sigma,fmri_qc_signal_WM_sigma_delta,fmri_qc_signal_WM_sigma_reduction_percent,fmri_qc_signal_WM_pre_max,fmri_qc_signal_WM_post_max,fmri_qc_signal_DVARS_pre_mean,fmri_qc_signal_DVARS_post_mean,fmri_qc_signal_DVARS_mean_delta,fmri_qc_signal_DVARS_pre_sigma,fmri_qc_signal_DVARS_post_sigma,fmri_qc_signal_DVARS_sigma_delta,fmri_qc_signal_DVARS_sigma_reduction_percent,fmri_qc_signal_DVARS_pre_max,fmri_qc_signal_DVARS_post_max,fmri_qc_signal_FD_pre_mean,fmri_qc_signal_FD_post_mean,fmri_qc_signal_FD_mean_delta,fmri_qc_signal_FD_pre_sigma,fmri_qc_signal_FD_post_sigma,fmri_qc_signal_FD_sigma_delta,fmri_qc_signal_FD_sigma_reduction_percent,fmri_qc_signal_FD_pre_max,fmri_qc_signal_FD_post_max,fmri_mean_FD,fmri_max_FD,fmri_mean_DVARS,fmri_qc_signal_post_DVARS_mean,fmri_qc_signal_post_GS_mean,fmri_percent_high_motion,fmri_post_DVARS_std,fmri_timefreq_TR,fmri_timefreq_sampling_rate_hz,fmri_timefreq_ALFF_0.01_0.08,fmri_timefreq_fALFF_0.01_0.08_over_0.01_0.25,fmri_global_signal_psd_power_mean,fmri_global_signal_psd_power_max,fmri_thalamus_roi_voxels,fmri_DMN_roi_voxels,fmri_salience_roi_voxels,fmri_frontoparietal_roi_voxels,fmri_thalamus_DMN_FC,fmri_thalamus_salience_FC,fmri_thalamus_frontoparietal_FC,fmri_DMN_salience_FC,fmri_DMN_frontoparietal_FC,fmri_salience_frontoparietal_FC,fmri_DMN_FC,fmri_salience_FC,fmri_frontoparietal_FC
sub-ISM035,sub-ISM035,199.9158477783203,199.91597747802734,0.00012969970703125,1.1855053901672363,0.24432476609945294,-0.9411806240677834,79.39673204864852,204.34867095947266,200.99076843261716,402.20054626464844,402.20054626464844,0.0,4.058191776275635,0.8729812800884247,-3.18521049618721,78.3401198997403,415.06494140625,405.75270080566406,488.08497619628906,488.0850067138672,3.0517578125e-05,1.254439264535904,0.21810676902532572,-1.0363324955105782,81.01779116608122,494.4324188232422,488.91770935058594,8.362650394439697,6.061768293380737,-2.30088210105896,2.190565764904022,1.3819502592086792,-0.808615505695343,38.359922047125195,36.300703048706055,16.78961420059204,0.14061841368675226,0.14061841368675226,0.0,0.09147137403488155,0.09147137403488155,0.0,0.0,1.6952667236328125,1.6952667236328125,0.14061841368675226,1.6952667236328125,6.061768293380737,6.061768293380737,199.91597747802734,0.00874999999999995,1.3825264475585728,2.0,0.5,0.11307710521350045,0.7117786241062809,0.1930311485338061,6.801900148391724,1200.0,1200.0,1200.0,1200.0,0.33090183576277654,0.1883466120677746,0.33165564913614504,0.24978137368277642,0.45484229300366685,0.3934239721240018,1.0736274123191833,1.116783857345581,1.162852942943573
sub-ISM036,sub-ISM036,189.11270650227866,189.11290486653647,0.0001983642578125,1.3708139260609944,0.1898063134710052,-1.1810076125899893,87.25803909885896,192.5597178141276,189.82405598958334,410.6511739095052,410.6513163248698,0.00014241536458333334,5.126044114430745,0.7273369754281399,-4.398707139002606,85.7244987841584,426.81276448567706,414.1991882324219,442.7340393066406,442.7337951660156,-0.000244140625,1.8872943719228108,0.22582420284015825,-1.6614701690826525,89.72889193581311,447.38242594401044,443.5255126953125,6.62350606918335,4.008510446125001,-2.6149956230583484,1.8631256024042768,0.6875938878917319,-1.1755317145125446,60.113038949079964,24.222795168558758,8.216100014105905,0.13863941282033918,0.13863941282033918,0.0,0.09494529788692789,0.09494529788692789,0.0,0.0,1.120288113753001,1.120288113753001,0.13863941282033918,1.120288113753001,4.008510446125001,4.008510446125001,189.11290486653647,0.013055555555555534,0.6878809465250284,2.0,0.5,0.08757876037153577,0.5227302407810183,0.1885276831713413,6.81312624613444,804.0,804.0,804.0,804.0,0.5870381699063519,0.6381799998165315,0.6440754750062325,0.6381812382344217,0.7582567957816938,0.8248006302110887,0.9669389239885883,0.9609786281265164,1.018594412331974
sub-ISM037,sub-ISM037,201.1829376220703,201.1815948486328,-0.0013427734375,1.1314557790756226,0.1975378990173339,-0.9339178800582886,82.54126209168169,205.1719970703125,202.2973175048828,438.4098815917969,438.4097900390625,-9.1552734375e-05,3.973931312561035,0.8553215265274048,-3.1186097860336304,78.47669073132053,453.1744995117188,441.59283447265625,479.6808471679688,479.6808471679688,0.0,0.7661120891571045,0.266695499420166,-0.4994165897369385,65.18844915845266,482.7550048828125,480.4845886230469,8.907212257385254,7.534060955047607,-1.3731513023376465,2.310957193374634,1.426598072052002,-0.8843591213226318,38.26808752053187,46.20309448242188,13.378342628479004,0.1595720648765564,0.1595720648765564,0.0,0.1110687255859375,0.1110687255859375,0.0,0.0,2.799860954284668,2.799860954284668,0.1595720648765564,2.799860954284668,7.534060955047607,7.534060955047607,201.1815948486328,0.0066666666666666,1.4271927360861512,2.0,0.5,0.0809891409505083,0.7338338106051848,0.1385520946815638,5.449234008789063,,,,,,,,,,,,,
sub-ISM038,sub-ISM038,197.61627960205078,197.6156463623047,-0.00063323974609375,1.2382219731807709,0.2284385338425636,-1.0097834393382072,81.25154781996292,200.60768890380862,199.02661895751953,395.8162078857422,395.81622314453125,1.52587890625e-05,3.8217235803604126,0.8285642564296722,-2.9931593239307404,77.44525576323004,407.1252899169922,401.76617431640625,471.33673095703125,471.33673095703125,0.0,1.9949150681495667,0.29124560952186584,-1.7036694586277008,81.81129894042127,475.9868469238281,472.5476531982422,9.160435914993286,6.0193703174591064,-3.1410655975341797,2.310080349445343,1.0098020434379578,-1.3002783060073853,47.70120405425679,35.6122350692749,13.102041721343994,0.24606912583112714,0.24606912583112714,0.0,0.17094034329056734,0.17094034329056734,0.0,0.0,2.241636097431183,2.241636097431183,0.24606912583112714,2.241636097431183,6.0193703174591064,6.0193703174591064,197.6156463623047,0.1370833333333333,1.010223083890082,2.0,0.5,0.1304774971414957,0.78903870992554,0.17906509470483356,5.137891173362732,1200.0,1200.0,1200.0,1200.0,0.04233373836239495,0.14658083205585018,-0.01034037579698125,0.37983805337979804,0.432118484468092,0.31326769596789017,1.3991482853889465,1.3343852758407593,1.6687930822372437
sub-ISM039,sub-ISM039,198.55938720703125,198.55897521972656,-0.0004119873046875,1.0164224207401276,0.2754310965538025,-0.7409913241863251,72.56792867155995,203.36495208740237,200.05471038818362,385.1298828125,385.1298522949219,-3.0517578125e-05,2.6460570096969604,0.9529873132705688,-1.6930696964263916,63.98493246445885,402.3754119873047,390.4168701171875,441.6186981201172,441.61865234375,-4.57763671875e-05,1.4130402207374573,0.2186134830117225,-1.1944267377257347,84.40037094796467,446.7178039550781,442.71795654296875,7.567065238952637,6.0435426235198975,-1.5235226154327393,3.1079241037368774,1.5988418459892273,-1.5090822577476501,48.577549853346156,43.17613983154297,16.804351806640625,0.14689780771732325,0.14689780771732325,0.0,0.18733246624469754,0.18733246624469754,0.0,0.0,3.2483817338943486,3.2483817338943486,0.14689780771732325,3.2483817338943486,6.0435426235198975,6.0435426235198975,198.55897521972656,0.0283333333333333,1.5995084708277307,2.0,0.5,0.0974355802045287,0.7057648663429532,0.22328414126523125,11.109794616699219,1200.0,1200.0,1200.0,1200.0,0.3950746754330724,0.3149163286704856,0.30572733957808385,0.23029365827936493,0.6079259277972658,0.33277659630493545,1.3615169525146484,1.1349361538887024,1.2255747318267822
sub-ISM040,sub-ISM040,188.64380645751953,188.6433334350586,-0.0004730224609375,0.8064900040626526,0.2508700862526893,-0.5556199178099632,68.34121696813875,190.93566894531253,189.50698852539062,383.23387145996094,383.23388671875,1.52587890625e-05,3.5340535640716553,1.0909025073051453,-2.44315105676651,67.5125934166234,391.80433654785156,386.1360626220703,464.02325439453125,464.0233154296875,6.103515625e-05,1.394791066646576,0.36816662549972534,-1.0266244411468506,72.38543767534966,468.1023864746094,465.20542907714844,7.508480787277222,6.542850017547607,-0.9656307697296143,2.385679543018341,1.6740218400955202,-0.711657702922821,29.662498077900032,27.49944019317627,18.6050386428833,0.19025379419326782,0.19025379419326782,0.0,0.157346136868,0.157346136868,0.0,0.0,2.3647223711013794,2.3647223711013794,0.19025379419326782,2.3647223711013794,6.542850017547607,6.542850017547607,188.6433334350586,0.0420833333333333,1.6747198407140966,2.0,0.5,0.10559801244358955,0.7156631343695725,0.19100079723532745,7.075190782546997,1200.0,1200.0,1200.0,1200.0,0.2534972042142029,0.1392473548395275,0.18870554835721928,0.29586058274218446,0.914942656681863,0.26959492815095787,1.5414414405822754,1.3961864709854126,1.727491855621338
sub-ISM041,sub-ISM041,102.4341812133789,102.43462371826172,0.0004425048828125,1.215740442276001,0.1358468532562255,-1.0798935890197754,88.82599866449247,107.1915054321289,102.94799041748048,234.3062438964844,234.3062438964844,0.0,3.15657377243042,0.4840901792049408,-2.672483593225479,84.6640625531076,249.171142578125,236.2417907714844,257.0212097167969,257.021240234375,3.0517578125e-05,1.930410385131836,0.1719426959753036,-1.7584676891565325,91.09294597150848,263.5975646972656,257.5478820800781,5.244647979736328,4.196398735046387,-1.0482492446899414,2.930283546447754,1.0298564434051514,-1.9004271030426023,64.85471705789023,48.31463241577149,14.97240161895752,0.3334483504295349,0.3334483504295349,0.0,0.3871732950210571,0.3871732950210571,0.0,0.0,7.430807590484619,7.430807590484619,0.3334483504295349,7.430807590484619,4.196398735046387,4.196398735046387,102.43462371826172,0.1158333333333333,1.030285805472827,2.0,0.5,0.0881786430393373,0.7821568140716382,0.1060098957689117,1.4527983665466309,,,,,,,,,,,,,
sub-ISM042,sub-ISM042,99.16989517211914,99.16998291015625,8.773803710935001e-05,1.5423844456672668,0.2095243334770202,-1.3328601121902466,86.41785015112433,104.56140518188477,99.93661117553711,217.3134536743164,217.31349182128906,3.814697265625e-05,4.60577654838562,0.9684042036533356,-3.6373723447322845,78.75117526295884,235.5287094116211,220.3471908569336,249.4814682006836,249.48148345947266,1.52587890625e-05,3.2049062252044678,0.22209335863590235,-2.9828128665685654,92.93380116603002,258.3403015136719,250.20023345947266,6.041311740875244,4.70917534828186,-1.3321363925933838,3.228440999984741,1.6987510919570923,-1.529689908027649,47.011656750643034,42.64557456970215,18.72955894470215,0.36795367300510406,0.36795367300510406,0.0,0.46015819907188416,0.46015819907188416,0.0,0.0,10.889073848724365,10.889073848724365,0.36795367300510406,10.889073848724365,4.70917534828186,4.70917534828186,99.16998291015625,0.19291666666666665,1.6994593731177117,2.0,0.5,0.1336265250064192,0.7663037947682666,0.1682592986111868,3.813021183013916,1200.0,1200.0,1200.0,1200.0,0.3172115405084557,0.36156260640420645,-0.17902933246207256,0.4002425911934667,0.5160842105181174,0.24476553497594628,0.9704225957393646,1.5264968872070312,1.1384099125862122
sub-ISM043,sub-ISM043,96.04801177978516,96.04808807373047,7.62939453125e-05,1.4366775155067444,0.1706104353070259,-1.2660670801997185,84.57467820079157,101.83700180053711,96.7918701171875,210.61316680908203,210.61317443847656,7.62939453125e-06,3.8439760208129883,0.7499485313892365,-3.094027489423752,77.23571109471577,227.48502349853516,213.87232971191406,249.62741088867188,249.62741088867188,0.0,2.1315414905548096,0.2126148715615272,-1.9189266189932823,87.00242525793165,259.43151092529297,250.7484436035156,5.1209938526153564,4.332526445388794,-0.7884674072265625,4.4519675970077515,1.704869031906128,-2.7470985651016235,61.97905716896833,46.013089179992676,15.64317512512207,0.31885458528995514,0.31885458528995514,0.0,0.6611731350421906,0.6611731350421906,0.0,0.0,8.705397367477417,8.705397367477417,0.31885458528995514,8.705397367477417,4.332526445388794,4.332526445388794,96.04808807373047,0.12166666666666665,1.7055798710193357,2.0,0.5,0.06555281023648535,0.6274889457181103,0.12837293105698075,3.7406778931617737,1200.0,1200.0,1200.0,1200.0,0.36570432814433174,0.2817521848086423,0.3711266539509336,0.35788662366196977,0.7557074682492471,0.4869466366996833,1.1916232109069824,1.0785741209983826,1.1133574843406677
sub-ISM044,sub-ISM044,86.60632705688477,86.60624313354492,-8.392333984375e-05,0.5577083975076675,0.12341657280921929,-0.4342918246984482,77.00668678457012,88.65995407104492,87.38258743286133,199.34976959228516,199.34978485107425,1.52587890625e-05,1.632503867149353,0.5638404190540314,-1.0686634480953217,64.41506092958332,205.8894271850586,204.1782989501953,223.85789489746094,223.85791778564453,2.288818359375e-05,0.998721718788147,0.13935470581054685,-0.8593670129776001,84.8603934811184,227.78156280517575,224.4244155883789,5.188411474227905,3.225058436393738,-1.9633530378341675,1.7817814350128174,0.7857749462127686,-0.9960064888000488,55.92286258076898,24.178395748138428,12.482966899871826,0.36258135735988617,0.36258135735988617,0.0,0.20809766650199885,0.20809766650199885,0.0,0.0,1.9839705228805542,1.9839705228805542,0.36258135735988617,1.9839705228805542,3.225058436393738,3.225058436393738,86.60624313354492,0.1595833333333333,0.7861025520260815,2.0,0.5,0.07385535479656785,0.725331102498193,0.09546880381427295,0.8978597223758698,1200.0,1200.0,1200.0,1200.0,0.06512283818446105,0.2776373303482709,-0.0026110023936000495,0.2972242983071856,0.4320395826598476,0.4039917025695183,0.7165980041027069,0.8508736789226532,0.8361558020114899
