paper_id,title,abstract,year,doi,pmid,source,keywords,url,notes,journal,publication_year,publication_type,authors,citation_count,citation_source,citation_count_age_normalized,journal_impact_factor,journal_impact_factor_year,journal_quartile,journal_metric_source,is_open_access,provider,provider_id,pmcid,semantic_scholar_id,openalex_id,crossref_id,first_author,retrieval_channel,query,query_group,query_set_version,journal_priority_score,journal_domain,jcr_category,open_access_url
doi:10.1503/jpn.210066,Thalamocortical functional connectivity in patients with insomnia using resting-state fMRI.,"Background: Insomnia is a common disorder that affects a vast number of patients; the hyperarousal theory of insomnia postulates that patients with insomnia are physiologically activated not only at nighttime but also during the daytime. We aimed to investigate the differences in the resting-state functional connectivity (RSFC) of the thalamus with cortical areas between patients with insomnia disorder and healthy controls. Methods: All participants completed clinical questionnaires and underwent portable polysomnography and resting-state fMRI. Results: Patients in the insomnia group ( n = 50) showed increased RSFC between the thalamus and right medial superior frontal area, bilateral middle temporal areas, left rectus and right parahippocampal areas compared with controls ( n = 42) after controlling for age, sex and education level. Among the pairs that showed increased connectivity, several functional connections were negatively correlated with sleep efficiency, measured by polysomnography. Limitations: We used a small sample size. Conclusion: We consider these results on increased thalamocortical hyperactivity in brain areas related to sensory functions as providing evidence for the hyperarousal theory of insomnia.",2021,10.1503/jpn.210066,34815270,openalex;pubmed,,https://pubmed.ncbi.nlm.nih.gov/34815270/,,Journal of psychiatry & neuroscience : JPN,,,"['Kim N', 'Won E', 'Cho SE', 'Kang CK', 'Kang SG', 'Nambeom Kim', 'Eunsoo Won', 'Seo‐Eun Cho', 'Chang‐Ki Kang', 'Seung‐Gul Kang']",32,openalex,5.333,,,,,True,openalex;pubmed,,,,,,Kim N,api_broad,,,,,,,
doi:10.1093/sleep/zsaf090.0514,0514 Pre-Sleep Salience Network Connectivity Predicts Subsequent REM Duration and Sleep Efficiency,"
 
 
 The hyperarousal theory of insomnia proposes that excessive physiological and psychological arousal contributes to the etiology of insomnia. Previous neuroimaging studies have corroborated this by finding that large-scale neural networks, such as the default mode network (DMN), show higher connectivity in individuals with insomnia. Less is known about the salience network’s (SN) involvement in hyperarousal mediated insomnia; however, it’s hypothesized that increased connectivity in the SN would also be correlated with more severe insomnia.
 
 
 
 As part of a larger study investigating the effects of transcranial magnetic stimuliation (TMS) on insomnia, participants (n=20, 12 female) scoring at least a 7 on the Insomnia Severity Index (ISI) underwent fMRI resting state scans taken before sleeping overnight in the lab, where polysomnography data were collected. Only data from the sham condition were used for this analysis.
 
 
 
 Seed to voxel analyses, using the mean of individual SN nodes (i.e., supramarginal gyrus, insula, rostral prefrontal cortex, and anterior cingulate cortex) as a single seed region, revealed significant functional connectivity correlations with REM duration and sleep efficiency. Specifically, sleep efficiency and REM duration were each associated with greater functional connectivity between the SN and a region of the lateral occipital cortex (Corrected P <.05). Correlations with other sleep stages were non-significant.
 
 
 
 Neuroimaging of participants with self-reported insomnia symptoms suggests that SN connectivity to the lateral occipital cortex correlates with better sleep efficiency and greater REM duration. These findings suggest that increased connectivity between the SN and lateral occipital cortex before bedtime may contribute to more consolidated REM sleep. It is plausible that this may occur as a consequence of use-dependent synaptic potentiation of these regions during wake due to high levels of visual stimulation. Alternatively, greater connectivity of these systems prior to bedtime may also be evidence of interactions between the visual and circadian systems, indicating more robust photoentrainment. This would explain why there is both greater REM duration— a component of circadian regulated sleep process — and greater sleep consolidation, which has also consistently been attributed to increased circadian consolidation. Future work may be able to address these possibilities.
 
 
 
 W81XWH2010173
",2025,10.1093/sleep/zsaf090.0514,,semantic_scholar,,https://www.semanticscholar.org/paper/c0941876896bea155860d872148437c6b3bb0a56,,Sleep,,,"['Lucas Koch-Kreher', 'David C Negelspach', 'S. Patel', 'W. Killgore']",0,semantic_scholar,0.0,,,,,False,semantic_scholar,,,,,,Lucas Koch-Kreher,api_broad,,,,,,,
doi:10.3389/fneur.2023.1164869,Altered functional connectivity of the thalamus in patients with insomnia disorder after transcutaneous auricular vagus nerve stimulation therapy.,"The pathogenesis of insomnia is related to the dysfunction of the thalamus. Transcutaneous auricular vagus nerve stimulation (taVNS) has proved to be effective in treating insomnia. However, whether taVNS alleviates insomnia through modulating thalamus-related functional connectivity remains unclear. To elucidate the instant modulating effects of taVNS on the resting state functional connectivity (RSFC) of the thalamus, 20 patients with insomnia disorder were recruited to receive taVNS treatment and their resting state functional magnetic resonance imaging (fMRI) data were collected immediately before and after stimulation. The fMRI data were compared with 20 age- and gender-matched healthy subjects who received no stimulation and had RSFC fMRI data collected once. RSFC analyses of the thalamus were performed in both groups. In addition to assessing the group differences between ID patients and healthy controls regarding the RSFC of the thalamus, we examined the taVNS-induced changes of RSFC of the thalamus in ID patients. Before taVNS treatment, the ID patients showed increased RSFC of the thalamus with the right insula and inferior frontal gyrus than healthy controls. After taVNS treatment, the RSFC between the thalamus and the right angular gyrus, left anterior cingulate gyrus, and precuneus were significantly decreased in patients. This study provides insights into the instant brain effects involving the thalamus-related functional connectivity of taVNS performed on insomnia disorder patients.",2023,10.3389/fneur.2023.1164869,37483453,europe_pmc;pubmed,,https://pubmed.ncbi.nlm.nih.gov/37483453/,,Frontiers in neurology,,,"['Zhao B', 'Bi Y', 'Chen Y', 'Zhang J', 'Zhang S', 'Zhang D', 'Rong P', 'Rong P.']",18,openalex,4.5,,,,,True,europe_pmc;pubmed,,,,,,Zhao B,api_broad,,,,,,,
doi:10.1002/hbm.25221,Altered thalamic connectivity in insomnia disorder during wakefulness and sleep.,"Insomnia disorder is the most common sleep disorder and has drawn increasing attention. Many studies have shown that hyperarousal plays a key role in the pathophysiology of insomnia disorder. However, the specific brain mechanisms underlying insomnia disorder remain unclear. To elucidate the neuropathophysiology of insomnia disorder, we investigated the brain functional networks of patients with insomnia disorder and healthy controls across the sleep-wake cycle. EEG-fMRI data from 33 patients with insomnia disorder and 31 well-matched healthy controls during wakefulness and nonrapid eye movement sleep, including N1, N2 and N3 stages, were analyzed. A medial and anterior thalamic region was selected as the seed considering its role in sleep-wake regulation. The functional connectivity between the thalamic seed and voxels across the brain was calculated. ANOVA with factors ""group"" and ""stage"" was performed on thalamus-based functional connectivity. Correlations between the misperception index and altered functional connectivity were explored. A group-by-stage interaction was observed at widespread cortical regions. Regarding the main effect of group, patients with insomnia disorder demonstrated decreased thalamic connectivity with the left amygdala, parahippocampal gyrus, putamen, pallidum and hippocampus across wakefulness and all three nonrapid eye movement sleep stages. The thalamic connectivity in the subcortical cluster and the right temporal cluster in N1 was significantly correlated with the misperception index. This study demonstrated the brain functional basis in insomnia disorder and illustrated its relationship with sleep misperception, shedding new light on the brain mechanisms of insomnia disorder and indicating potential therapeutic targets for its treatment.",2021,10.1002/hbm.25221,33048406,openalex;pubmed,,https://pubmed.ncbi.nlm.nih.gov/33048406/,,Human brain mapping,,,"['Zou G', 'Li Y', 'Liu J', 'Zhou S', 'Xu J', 'Qin L', 'Shao Y', 'Yao P', 'Sun H', 'Zou Q', 'Gao JH', 'Guangyuan Zou', 'Yuezhen Li', 'Jiayi Liu', 'Shuqin Zhou', 'Jing Xu', 'Lang Qin', 'Yan Shao', 'Ping Yao', 'Hongqiang Sun', 'Qihong Zou', 'Jia‐Hong Gao']",69,openalex,9.857,,,,,True,openalex;pubmed,,,,,,Zou G,api_broad,,,,,,,
doi:10.1002/wcs.70019,Neuroimaging Evidence of Hyperarousal in Insomnia: An Advanced Review.,"Insomnia has become the most prevalent sleep disorder in the world. The hyperarousal model is one of the main theories to explain the pathogenesis of insomnia disorder, and neuroimaging studies have provided important evidence to support this model. Although the findings vary, the overall results indicate that insomnia patients experience a condition of hyperarousal. We reviewed and summarized the related evidence from previous functional and structural neuroimaging studies of hyperarousal, which mainly showed enhanced local activity and interregional functional connectivity, increased metabolism, structural changes in gray matter, and altered white matter connectivity. Future research should further focus on cortical hyperarousal in different insomnia subtypes, unify the treatment criteria based on a sleep-staging interpretation, strictly control for the effects of age and gender, and advance the application of neuroimaging in the diagnosis and prognostic evaluation of insomnia. This article is categorized under: Psychology > Brain Function and Dysfunction Neuroscience > Clinical Neuroscience > Computation.",2026,10.1002/wcs.70019,41478629,semantic_scholar,,https://www.semanticscholar.org/paper/ab2094c1321f4d41b2a04c44ef068d370d5bcbdd,,Wiley Interdisciplinary Reviews: Cognitive Science,,,"['Xinsen Ye', 'Xinzhi Wang', 'Guang Xu', 'Xiaofen Ma']",4,semantic_scholar,4.0,,,,,False,semantic_scholar,,,,,,Xinsen Ye,api_broad,,,,,,,
doi:10.1016/j.neuroimage.2025.121639,Aberrant thalamic GABA-network coupling as a neural signature of insomnia severity in major depressive disorder.,"Insomnia is one of the most common and debilitating symptoms of major depressive disorder (MDD), with its severity closely associated with both the onset and course of the illness. However, its underlying neurobiological mechanisms remain poorly understood. This study employed a multimodal neuroimaging approach, combining magnetoencephalography and magnetic resonance spectroscopy, to separately examine the associations between insomnia severity and both thalamic functional connectivity (FC) with large-scale brain networks in the gamma frequency band, and thalamic gamma-aminobutyric acid (GABA) concentrations. Hierarchical regression analyses revealed a group-specific neurobiological mechanism, marked by opposing associations of insomnia severity with thalamic FC with large-scale brain networks and GABA⁺ levels between patients with MDD and healthy controls (HCs). Furthermore, the intrinsic coupling between thalamic GABA⁺ and thalamic-default mode network FC was reversed between groups, as evidenced by a negative association in HCs that trended toward a positive association in MDD patients. These findings indicate that insomnia in MDD constitutes a distinct pathological state, in which elevated thalamic GABA⁺ levels may represent a compensatory yet maladaptive response that disrupts thalamic GABA-network coupling. Our results provide a novel neurobiological framework for MDD-related insomnia and highlight the potential of therapies aimed at restoring thalamic neurochemical-functional coordination.",2026,10.1016/j.neuroimage.2025.121639,41380988,pubmed;semantic_scholar,,https://pubmed.ncbi.nlm.nih.gov/41380988/,,NeuroImage,,,"['Huang Y', 'Xia Y', 'Wang Y', 'Du Y', 'Sheng J', 'Xiong T', 'Hua L', 'Gong W', 'Shen N', 'Yao Z', 'Lu Q', 'Yingying Huang', 'Yi Xia', 'Yiwen Wang', 'Yishan Du', 'Junling Sheng', 'Tingting Xiong', 'L. Hua', 'Wenyue Gong', 'Na Shen', 'Z. Yao', 'Q. Lu']",1,semantic_scholar,0.0,,,,,True,pubmed;semantic_scholar,,,,,,Huang Y,api_broad,,,,,,,
doi:10.1016/j.jad.2023.04.100,Thalamic network under wakefulness after sleep onset and its coupling with daytime fatigue in insomnia disorder: An EEG-fMRI study.,"BACKGROUND
Fatigue is the most common daytime impairment of insomnia disorder (ID). Thalamus is acknowledged as the key brain region closely associated with fatigue. However, the thalamus-based neurobiological mechanisms of fatigue in patients with ID remain unknown.


METHODS
Forty-two ID patients and twenty-eight well-matched healthy controls (HCs) underwent simultaneous electroencephalography--functional magnetic resonance imaging. We calculated the functional connectivity (FC) between the thalamic seed and each voxel across the whole brain in two conditions of wakefulness--after sleep onset (WASO) and before sleep onset. A linear mixed effect model was used to determine the condition effect of the thalamic FC. The correlation between daytime fatigue and the thalamic connectivity was explored.


RESULTS
After sleep onset, the connectivity with the bilateral thalamus was increased in the cerebellar and cortical regions. Compared with HCs, ID patients showed significantly lower FC between left thalamus and left cerebellum under the WASO condition. Furthermore, thalamic connectivity with cerebellum under the WASO condition was negatively correlated with Fatigue Severity Scale scores in the pooled sample.


CONCLUSIONS
These findings contribute to an emerging framework that reveals the link between insomnia-related daytime fatigue and the altered thalamic network after sleep onset, further highlighting the possibility that this neural pathway is a therapeutic target for meaningfully mitigating fatigue.",2023,10.1016/j.jad.2023.04.100,37149048,pubmed,,https://pubmed.ncbi.nlm.nih.gov/37149048/,,Journal of affective disorders,,,"['Guo Y', 'Chen Y', 'Shao Y', 'Hu S', 'Zou G', 'Chen J', 'Li Y', 'Gao X', 'Liu J', 'Yao P', 'Zhou S', 'Xu J', 'Gao JH', 'Zou Q', 'Sun H']",17,openalex,4.25,,,,,False,pubmed,,,,,,Guo Y,api_broad,,,,,,,
doi:10.1016/j.clinimag.2022.04.015,Altered thalamic functional connectivity and cerebral blood flow in insomnia disorder: a resting-state functional magnetic resonance imaging study.,"BACKGROUND AND PURPOSE
The thalamus plays a crucial role in sleep regulation, but few studies have examined functional connectivity of the thalamus in insomnia disorder. This study aimed to investigate the connectivity patterns and perfusion of the thalamus in patients with insomnia disorder using resting-state functional connectivity and three-dimensional arterial spin labeling (3D ASL).


MATERIALS AND METHODS
In total, 56 patients with insomnia disorder and 59 healthy control participants with a similar age-, gender-, and education lever distribution underwent resting-state functional magnetic resonance imaging (rs-fMRI) and 3D-ASL. The thalamus was selected as the seed region. Whole-brain connectivity was assessed using rs-fMRI. Cerebral blood flow (CBF) of the bilateral thalamus was measured with 3D-ASL using region-of-interest (ROI) analysis. All participants completed a series of neuropsychological assessments. Sleep parameters were assessed via polysomnography (PSG). The relationships between imaging parameters and clinical variables were assessed with Pearson correlation analysis.


RESULTS
Compared with healthy controls, patients with insomnia disorder exhibited increased connectivity between the left thalamus and right precentral gyrus, and right thalamus and left middle frontal gyrus (MFG), right superior parietal lobule (SPL) and right superior frontal gyrus (SFG). Whereas decreased connectivity was noted between the right thalamus and left posterior cerebellar lobe including Crus I, Crus II, and VII b/VII. Connectivity between the right thalamus and left Crus I was positively correlated with MoCA scores (r = 0.286, P = 0.036) in insomnia disorder.


CONCLUSIONS
Our findings illustrate functional abnormalities in brain connectivity and their relationship with cognitive impairments in insomnia disorder, providing novel insight into the neural mechanisms of insomnia disorder.",2022,10.1016/j.clinimag.2022.04.015,35561588,pubmed,,https://pubmed.ncbi.nlm.nih.gov/35561588/,,Clinical imaging,,,"['Huang G', 'Fang Y', 'Zhang W', 'Su X', 'Xie Y', 'Liang F', 'Gao Y', 'Lu Y', 'Zhao L']",23,openalex,4.6,,,,,False,pubmed,,,,,,Huang G,api_broad,,,,,,,
doi:10.1002/brb3.876,Rest but busy: Aberrant resting‐state functional connectivity of triple network model in insomnia,"Introduction: One classical hypothesis among many models to explain the etiology and maintenance of insomnia disorder (ID) is hyperarousal. Aberrant functional connectivity among resting-state large-scale brain networks may be the underlying neurological mechanisms of this hypothesis. The aim of current study was to investigate the functional network connectivity (FNC) among large-scale brain networks in patients with insomnia disorder (ID) during resting state. Methods: In the present study, the resting-state fMRI was used to evaluate whether patients with ID showed aberrant FNC among dorsal attention network (DAN), frontoparietal control network (FPC), anterior default mode network (aDMN), and posterior default mode network (pDMN) compared with healthy good sleepers (HGSs). The Pearson's correlation analysis was employed to explore whether the abnormal FNC observed in patients with ID was associated with sleep parameters, cognitive and emotional scores, and behavioral performance assessed by questionnaires and tasks. Results: Patients with ID had worse subjective thought control ability measured by Thought Control Ability Questionnaire (TCAQ) and more negative affect than HGSs. Intriguingly, relative to HGSs, patients with ID showed a significant increase in FNC between DAN and FPC, but a significant decrease in FNC between aDMN and pDMN. Exploratory analysis in patients with ID revealed a significantly positive correlation between the DAN-FPC FNC and reaction time (RT) of psychomotor vigilance task (PVT). Conclusion: The current study demonstrated that even during the resting state, the task-activated and task-deactivated large-scale brain networks in insomniacs may still maintain a hyperarousal state, looking quite similar to the pattern in a task condition with external stimuli. Those results support the hyperarousal model of insomnia.",2018,10.1002/brb3.876,29484254,openalex;pubmed,,https://openalex.org/W2781768771,,Brain and Behavior,,,"['Xiaojuan Dong', 'Haixia Qin', 'Taoyu Wu', 'Hua Hu', 'Keren Liao', 'Fei Cheng', 'Dong Gao', 'Xu Lei', 'Dong X', 'Qin H', 'Wu T', 'Hu H', 'Liao K', 'Cheng F', 'Gao D', 'Lei X']",40,openalex,4.444,,,,,True,openalex;pubmed,,,,,,Xiaojuan Dong,api_broad,,,,,,,
doi:10.1097/md.0000000000007037,Increased interhemispheric resting-state functional connectivity in healthy participants with insomnia symptoms: A randomized clinical consort study.,"BACKGROUND: Abnormalities within the insular cortex of the salience and thalamus of the hyperarousal network have been increasingly reported in healthy participants with insomnia symptoms by recent resting-state functional magnetic resonance imaging (rsfMRI) studies. However, little is known about the changes in functional interaction between the bilateral cerebral hemispheres in healthy participants with insomnia symptoms. METHODS: In a randomized trial, 27 healthy participants with insomnia symptoms and 27 age-, gender-, and educational level-matched healthy participants without insomnia symptoms underwent rsfMRI. Voxel-mirrored homotopic connectivity (VMHC) was used to measure functional connectivity between any pair of symmetrical interhemispheric voxels (i.e., functional homotopy). RESULTS: The healthy participants with insomnia symptoms displayed significantly increased VMHC compared to healthy participants without insomnia symptoms in the bilateral thalamus/posterior insula (including anterior insula), fusiform, middle cingulate gyrus, inferior parietal lobe, and postcentral gyrus. No regions of decreased VMHC were detected in healthy participants with insomnia symptoms. There were significantly positive correlations between the VMHC values in the anterior cingulate cortex (ACC) and sleep disturbance scores in all healthy participants. CONCLUSIONS: Insomnia is associated with substantial impairment of interhemispheric coordination within the default mode (ACC), salience (insula), hyperarousal (thalamus/posterior insula), and visual (fusiform) networks.",2017,10.1097/md.0000000000007037,28682863,pubmed,,https://pubmed.ncbi.nlm.nih.gov/28682863/,,Medicine,,,"['Li X', 'Guo S', 'Wang C', 'Wang B', 'Sun H', 'Zhang X']",41,openalex,4.1,,,,,True,pubmed,,,,,,Li X,api_broad,,,,,,,
