source,target,edge_type,weight,metadata
paper:doi:10.1503/jpn.210066,finding:E_57ca3fc8f4f3,paper_reports_finding,1.0,{}
finding:E_57ca3fc8f4f3,mechanism:hyperarousal,finding_supports_mechanism,0.724,{}
mechanism:hyperarousal,variable:beta_power,mechanism_measured_by_variable,1.0,{}
variable:beta_power,modality:EEG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1503/jpn.210066,finding:E_8760ab48af8a,paper_reports_finding,1.0,{}
finding:E_8760ab48af8a,mechanism:thalamocortical coupling,finding_supports_mechanism,0.724,{}
mechanism:thalamocortical coupling,variable:thalamus_DMN_FC,mechanism_measured_by_variable,1.0,{}
variable:thalamus_DMN_FC,modality:EEG-fMRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1503/jpn.210066,finding:E_7159dfaad0ae,paper_reports_finding,1.0,{}
finding:E_7159dfaad0ae,mechanism:default mode network dysregulation,finding_supports_mechanism,0.724,{}
mechanism:default mode network dysregulation,variable:functional connectivity,mechanism_measured_by_variable,1.0,{}
variable:functional connectivity,modality:fMRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1503/jpn.210066,finding:E_fd2f42b6f79f,paper_reports_finding,1.0,{}
finding:E_fd2f42b6f79f,mechanism:thalamocortical coupling,finding_supports_mechanism,0.814,{}
mechanism:thalamocortical coupling,variable:thalamus_DMN_FC,mechanism_measured_by_variable,1.0,{}
variable:thalamus_DMN_FC,modality:EEG-fMRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1503/jpn.210066,finding:E_567ea0de02f5,paper_reports_finding,1.0,{}
finding:E_567ea0de02f5,mechanism:confound / methodological limitation,finding_supports_mechanism,0.814,{}
mechanism:confound / methodological limitation,variable:age,mechanism_measured_by_variable,1.0,{}
variable:age,modality:Method,variable_belongs_to_modality,1.0,{}
paper:doi:10.1503/jpn.210066,finding:E_93f62532554e,paper_reports_finding,1.0,{}
finding:E_93f62532554e,mechanism:confound / methodological limitation,finding_supports_mechanism,0.644,{}
mechanism:confound / methodological limitation,variable:mean_FD,mechanism_measured_by_variable,1.0,{}
variable:mean_FD,modality:Method,variable_belongs_to_modality,1.0,{}
paper:doi:10.1503/jpn.210066,finding:E_e620f9584bce,paper_reports_finding,1.0,{}
finding:E_e620f9584bce,mechanism:hyperarousal,finding_supports_mechanism,0.834,{}
mechanism:hyperarousal,variable:beta_power,mechanism_measured_by_variable,1.0,{}
variable:beta_power,modality:EEG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1503/jpn.210066,finding:E_cb1ff63d1c9a,paper_reports_finding,1.0,{}
finding:E_cb1ff63d1c9a,mechanism:thalamocortical coupling,finding_supports_mechanism,0.834,{}
mechanism:thalamocortical coupling,variable:thalamus_DMN_FC,mechanism_measured_by_variable,1.0,{}
variable:thalamus_DMN_FC,modality:EEG-fMRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_69a2cc3f7374,paper_reports_finding,1.0,{}
finding:E_69a2cc3f7374,mechanism:hyperarousal,finding_supports_mechanism,0.19,{}
mechanism:hyperarousal,variable:beta_power,mechanism_measured_by_variable,1.0,{}
variable:beta_power,modality:EEG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_15a694d3e01b,paper_reports_finding,1.0,{}
finding:E_15a694d3e01b,mechanism:default mode network dysregulation,finding_supports_mechanism,0.3,{}
mechanism:default mode network dysregulation,variable:DMN_FC,mechanism_measured_by_variable,1.0,{}
variable:DMN_FC,modality:fMRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_e602c6303a2b,paper_reports_finding,1.0,{}
finding:E_e602c6303a2b,mechanism:white matter integrity,finding_supports_mechanism,0.3,{}
mechanism:white matter integrity,variable:FA,mechanism_measured_by_variable,1.0,{}
variable:FA,modality:DTI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_4b03374b87eb,paper_reports_finding,1.0,{}
finding:E_4b03374b87eb,mechanism:hyperarousal,finding_supports_mechanism,0.3,{}
mechanism:hyperarousal,variable:beta_power,mechanism_measured_by_variable,1.0,{}
variable:beta_power,modality:EEG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_a63553d95e17,paper_reports_finding,1.0,{}
finding:E_a63553d95e17,mechanism:salience network dysregulation,finding_supports_mechanism,0.3,{}
mechanism:salience network dysregulation,variable:salience_FC,mechanism_measured_by_variable,1.0,{}
variable:salience_FC,modality:fMRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_783a0cb356bb,paper_reports_finding,1.0,{}
finding:E_783a0cb356bb,mechanism:insomnia severity,finding_supports_mechanism,0.72,{}
mechanism:insomnia severity,variable:ISI,mechanism_measured_by_variable,1.0,{}
variable:ISI,modality:Scale,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_ae83684e251d,paper_reports_finding,1.0,{}
finding:E_ae83684e251d,mechanism:default mode network dysregulation,finding_supports_mechanism,0.19,{}
mechanism:default mode network dysregulation,variable:functional connectivity,mechanism_measured_by_variable,1.0,{}
variable:functional connectivity,modality:fMRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_6383c2381198,paper_reports_finding,1.0,{}
finding:E_6383c2381198,mechanism:REM_NREM_switching,finding_supports_mechanism,0.19,{}
mechanism:REM_NREM_switching,variable:REM latency,mechanism_measured_by_variable,1.0,{}
variable:REM latency,modality:PSG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_8ed7aacb25c4,paper_reports_finding,1.0,{}
finding:E_8ed7aacb25c4,mechanism:default mode network dysregulation,finding_supports_mechanism,0.3,{}
mechanism:default mode network dysregulation,variable:functional connectivity,mechanism_measured_by_variable,1.0,{}
variable:functional connectivity,modality:fMRI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_d1ccbe4b31b7,paper_reports_finding,1.0,{}
finding:E_d1ccbe4b31b7,mechanism:REM_NREM_switching,finding_supports_mechanism,0.3,{}
mechanism:REM_NREM_switching,variable:REM latency,mechanism_measured_by_variable,1.0,{}
variable:REM latency,modality:PSG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_baf5e37c23dd,paper_reports_finding,1.0,{}
finding:E_baf5e37c23dd,mechanism:confound / methodological limitation,finding_null_for_mechanism,0.27,{}
mechanism:confound / methodological limitation,variable:age,mechanism_measured_by_variable,1.0,{}
variable:age,modality:Method,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_8c13fcbb6149,paper_reports_finding,1.0,{}
finding:E_8c13fcbb6149,mechanism:insomnia severity,finding_supports_mechanism,0.79,{}
mechanism:insomnia severity,variable:ISI,mechanism_measured_by_variable,1.0,{}
variable:ISI,modality:Scale,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_783c3fdf9502,paper_reports_finding,1.0,{}
finding:E_783c3fdf9502,mechanism:REM_NREM_switching,finding_supports_mechanism,0.79,{}
mechanism:REM_NREM_switching,variable:REM latency,mechanism_measured_by_variable,1.0,{}
variable:REM latency,modality:PSG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_91a56b942b7b,paper_reports_finding,1.0,{}
finding:E_91a56b942b7b,mechanism:white matter integrity,finding_supports_mechanism,0.3,{}
mechanism:white matter integrity,variable:FA,mechanism_measured_by_variable,1.0,{}
variable:FA,modality:DTI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_b1157ad8503e,paper_reports_finding,1.0,{}
finding:E_b1157ad8503e,mechanism:REM_NREM_switching,finding_supports_mechanism,0.3,{}
mechanism:REM_NREM_switching,variable:REM latency,mechanism_measured_by_variable,1.0,{}
variable:REM latency,modality:PSG,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_bdbb8cd89e86,paper_reports_finding,1.0,{}
finding:E_bdbb8cd89e86,mechanism:white matter integrity,finding_supports_mechanism,0.19,{}
mechanism:white matter integrity,variable:FA,mechanism_measured_by_variable,1.0,{}
variable:FA,modality:DTI,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_e2eb868ff5d5,paper_reports_finding,1.0,{}
finding:E_e2eb868ff5d5,mechanism:circadian_regulation,finding_supports_mechanism,0.19,{}
mechanism:circadian_regulation,variable:circadian rhythm,mechanism_measured_by_variable,1.0,{}
variable:circadian rhythm,modality:behavior,variable_belongs_to_modality,1.0,{}
paper:doi:10.1093/sleep/zsaf090.0514,finding:E_600598d16593,paper_reports_finding,1.0,{}
finding:E_600598d16593,mechanism:circadian_regulation,finding_supports_mechanism,0.3,{}
mechanism:circadian_regulation,variable:circadian rhythm,mechanism_measured_by_variable,1.0,{}
variable:circadian rhythm,modality:behavior,variable_belongs_to_modality,1.0,{}
