clinical_anchor,feature,network_a,network_b,healthy_spearman_r,healthy_spearman_p,healthy_n,nonhealthy_spearman_r,nonhealthy_spearman_p,nonhealthy_n,group_fc_interaction_beta,group_fc_interaction_p,group_fc_interaction_n,nonhealthy_mechanism_direction,healthy_control_direction,nonhealthy_spearman_fdr_q,healthy_spearman_fdr_q,group_fc_interaction_fdr_q
ISI,thalamus_DMN_FC,thalamus,DMN,-0.005453013418055771,0.9823239268992485,19,0.3812788025364388,0.0020487431605933884,63,-4.564664556904173,0.09997989858618353,82,nonhealthy_greater,nonhealthy_lower,0.04609672111335124,0.9967125932018882,0.8626083719732612
ISI,thalamus_salience_FC,thalamus,salience,0.29628039571436354,0.21807319741817427,19,0.31949405941623027,0.010698266109077705,63,-3.794278865345954,0.16745018578485976,82,nonhealthy_greater,nonhealthy_greater,0.12035549372712417,0.8317159300504153,0.8626083719732612
ISI,thalamus_frontoparietal_FC,thalamus,frontoparietal,0.05816547645926156,0.813025569747875,19,0.20110139303974342,0.11401022858002699,63,-3.3699636878619983,0.2190714643169368,82,nonhealthy_greater,nonhealthy_greater,0.36646144900722966,0.9627934378593256,0.8626083719732612
ISI,DMN_salience_FC,DMN,salience,0.11269561063981927,0.6459843737943627,19,0.24328645537279303,0.05468965254857548,63,-4.799877308133391,0.13266019806972335,82,nonhealthy_greater,nonhealthy_greater,0.22373039678962697,0.9627934378593256,0.8626083719732612
ISI,DMN_frontoparietal_FC,DMN,frontoparietal,0.17722293608681255,0.4679435246586541,19,0.30678075295969476,0.014464332424700169,63,-2.482864962349816,0.48982602159605904,82,nonhealthy_greater,nonhealthy_greater,0.13017899182230153,0.9382728032188546,0.8626083719732612
ISI,salience_frontoparietal_FC,salience,frontoparietal,-0.08088636570116059,0.7420200874452705,19,0.14622710248208357,0.2528064141873491,63,-4.043295588950528,0.18817537298936296,82,nonhealthy_greater,nonhealthy_lower,0.5834927955323749,0.9627934378593256,0.8626083719732612
ISI,DMN_FC,DMN,DMN,0.07179801000440098,0.7702173547427177,19,0.10948372056414193,0.3930106686654917,63,0.1468914403728412,0.9580769435771733,82,nonhealthy_greater,nonhealthy_greater,0.6624313693892063,0.9627934378593256,0.9580769435771733
ISI,salience_FC,salience,salience,-0.1835847850745443,0.4518523624480637,19,0.17591556244592496,0.1678615731453304,63,-0.8392149678041819,0.7380193293542188,82,nonhealthy_greater,nonhealthy_lower,0.4443394583258746,0.9382728032188546,0.8626083719732612
ISI,frontoparietal_FC,frontoparietal,frontoparietal,0.27265067090278855,0.2587560671267959,19,0.06643184188178305,0.6049470716921302,63,0.9367349623305001,0.7161418848780561,82,nonhealthy_greater,nonhealthy_greater,0.7821223192131601,0.8317159300504153,0.8626083719732612
PSQI,thalamus_DMN_FC,thalamus,DMN,0.058683032185101056,0.811390254819365,19,0.2837593056278524,0.02421431078713601,63,-1.0070597853907597,0.4192660118251228,82,nonhealthy_greater,nonhealthy_greater,0.17442077539716752,0.9627934378593256,0.8626083719732612
PSQI,thalamus_salience_FC,thalamus,salience,-0.008383290312157295,0.9728281185344128,19,0.26704321428730227,0.03436757200399276,63,-1.03223665586829,0.4015587789789934,82,nonhealthy_greater,nonhealthy_lower,0.17442077539716752,0.9967125932018882,0.8626083719732612
PSQI,thalamus_frontoparietal_FC,thalamus,frontoparietal,0.11922901777290373,0.6268500166970119,19,0.1442554821225321,0.25933013134772215,63,-0.6275176512571236,0.6054687577291722,82,nonhealthy_greater,nonhealthy_greater,0.5834927955323749,0.9627934378593256,0.8626083719732612
PSQI,DMN_salience_FC,DMN,salience,-0.037259068054032424,0.8796329270745764,19,0.266555864685537,0.034710040133746047,63,-1.1948174771948243,0.40129158567584233,82,nonhealthy_greater,nonhealthy_lower,0.17442077539716752,0.989566820441269,0.8626083719732612
PSQI,DMN_frontoparietal_FC,DMN,frontoparietal,-0.06799779919860917,0.782092329783676,19,0.2116802995267629,0.09582364017320924,63,-0.6416076059837796,0.6900775790821838,82,nonhealthy_greater,nonhealthy_lower,0.33169721598418583,0.9627934378593256,0.8626083719732612
PSQI,salience_frontoparietal_FC,salience,frontoparietal,-0.10339391384993994,0.6735950034980568,19,0.0987126618375638,0.441477633436528,63,-0.9264086994607148,0.49377370392125897,82,nonhealthy_greater,nonhealthy_lower,0.6624313693892063,0.9627934378593256,0.8626083719732612
PSQI,DMN_FC,DMN,DMN,-0.41916451560786466,0.07403871099322765,19,0.09554488942608927,0.45634161002367546,63,-0.8565876935117086,0.47990566333749685,82,nonhealthy_greater,nonhealthy_lower,0.6624313693892063,0.5552903324492073,0.8626083719732612
PSQI,salience_FC,salience,salience,-0.466669827376756,0.04398607642342637,19,0.09846898703668112,0.4426113253308719,63,-1.056106620464061,0.33234754452184634,82,nonhealthy_greater,nonhealthy_lower,0.6624313693892063,0.5552903324492073,0.8626083719732612
