duplicate_group_id,canonical_paper_id,incoming_paper_id,matched_by,match_score,action,existing_provider_sources,incoming_provider,existing_retrieval_channels,incoming_retrieval_channel,title,doi,pmid,pmcid,journal,year,merged_fields,warnings
,doi:10.3390/s26134091,doi:10.3390/s26134091,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,Hypnogram-Driven Automatic Sleep Staging and a Quality-Index Assessment Through a Two-Stage LSTM-DNN Ensemble Learning Approach Using Multi-Biosignal Features for Sleep Disorder Detection.,10.3390/s26134091,42451333,,"Sensors (Basel, Switzerland)",2026,,
,doi:10.1212/wnl.0000000000218307,doi:10.1212/wnl.0000000000218307,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,"Orexin, Sleep, and Cognition in Alzheimer Disease: Non-REM Oscillatory Activity and Neural Resilience.",10.1212/wnl.0000000000218307,42447420,,Neurology,2026,,
,doi:10.4103/lungindia.lungindia_43_26,doi:10.4103/lungindia.lungindia_43_26,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,A pilot validation study of contactless ballistocardiography versus polysomnography for sleep and respiratory assessment in older adults.,10.4103/lungindia.lungindia_43_26,42446317,,Lung India : official organ of Indian Chest Society,2026,,
,doi:10.64898/2026.06.23.734005,doi:10.64898/2026.06.23.734005,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,Leptin alleviates obesity hypoventilation via serotonergic pathways.,10.64898/2026.06.23.734005,42427597,,bioRxiv : the preprint server for biology,2026,,
,doi:10.1371/journal.pbio.3003303,doi:10.1371/journal.pbio.3003303,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,GABA neurons in the sublaterodorsal tegmental nucleus suppress wakefulness in healthy and narcoleptic mice.,10.1371/journal.pbio.3003303,42418402,,PLoS biology,2026,,
,doi:10.1007/s11325-026-03755-3,doi:10.1007/s11325-026-03755-3,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,"Analysis of positional obstructive sleep apnea features in 12,000 patients at a sleep center.",10.1007/s11325-026-03755-3,42400703,,Sleep & breathing = Schlaf & Atmung,2026,,
,doi:10.3390/s26123720,doi:10.3390/s26123720,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,Sleep Stage Classification During CPAP Therapy from CPAP-Airflow and Wearable Fingertip Signals.,10.3390/s26123720,42356693,,"Sensors (Basel, Switzerland)",2026,,
,doi:10.1038/s44323-026-00094-0,doi:10.1038/s44323-026-00094-0,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,Nightmare disorder shows reduced slow oscillation-dominant spindle coupling in NREM sleep.,10.1038/s44323-026-00094-0,42331979,,Npj biological timing and sleep,2026,,
,doi:10.1016/j.pnpbp.2026.111793,doi:10.1016/j.pnpbp.2026.111793,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,Anxiolytic and sedative drugs: Sleep modulation and memory implications.,10.1016/j.pnpbp.2026.111793,42297091,,Progress in neuro-psychopharmacology & biological psychiatry,2026,,
,doi:10.1093/sleep/zsag161,doi:10.1093/sleep/zsag161,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,"Charting infant sleep cycle development using actigraphy: longitudinal evidence for ultradian cycle lengthening within the first year of life from 35,000 hours of sleep.",10.1093/sleep/zsag161,42286890,,Sleep,2026,,
,doi:10.1016/j.sleep.2026.109056,doi:10.1016/j.sleep.2026.109056,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,"Efficacy of lemborexant on sleep quality and neurocognitive outcomes among hospital rotating shift workers: A randomized, double-blind, placebo-controlled trial.",10.1016/j.sleep.2026.109056,42284966,,Sleep medicine,2026,,
,doi:10.17116/jnevro202612605295,doi:10.17116/jnevro202612605295,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,[Sleep architecture changes and their impact on short-term ischemic stroke functional outcome].,10.17116/jnevro202612605295,42268279,,Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova,2026,,
,doi:10.1002/alz.71579,doi:10.1002/alz.71579,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,Early microglial response to amyloid plaques drives sleep loss in Alzheimer's disease.,10.1002/alz.71579,42252510,,Alzheimer's & dementia : the journal of the Alzheimer's Association,2026,,
,doi:10.1016/j.nbd.2026.107457,doi:10.1016/j.nbd.2026.107457,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,Impact of DSP4-induced locus coeruleus dysfunction on sleep: Systematic review and methodology.,10.1016/j.nbd.2026.107457,42251969,,Neurobiology of disease,2026,,
,doi:10.1007/s00415-026-13870-6,doi:10.1007/s00415-026-13870-6,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,Stage-specific polysomnographic and MRI markers across phenoconversion in isolated REM sleep behavior disorder.,10.1007/s00415-026-13870-6,42234173,,Journal of neurology,2026,,
,doi:10.18071/isz.79.0151,doi:10.18071/isz.79.0151,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,Neurotransmitter changes in the brainstem and autonomic alterations during REM sleep - a mini review.,10.18071/isz.79.0151,42233470,,Ideggyogyaszati szemle,2026,,
,doi:10.1016/j.neulet.2026.138644,doi:10.1016/j.neulet.2026.138644,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,Chronic low-dose oral methylglyoxal intake is associated with delayed circadian sleep timing and altered gut microbiota in mice.,10.1016/j.neulet.2026.138644,42217608,,Neuroscience letters,2026,,
,doi:10.1021/acsami.6c07695,doi:10.1021/acsami.6c07695,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,Wearable In-Ear EEG: PEDOT-Leather Sensors for Comfortable Sleep Monitoring and Auditory Intervention.,10.1021/acsami.6c07695,42201248,,ACS applied materials & interfaces,2026,,
,doi:10.1038/s41593-026-02314-z,doi:10.1038/s41593-026-02314-z,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,Low-dimensional population dynamics in the brainstem gate REM sleep.,10.1038/s41593-026-02314-z,42185574,,Nature neuroscience,2026,,
,doi:10.1038/s41598-026-52285-1,doi:10.1038/s41598-026-52285-1,new_record,1.0,inserted_new,"[""europe_pmc"", ""pubmed""]",pubmed,"[""api_broad""]",api_broad,Spatial memory performance is associated with region-specific coordination of hippocampo-cortical sleep oscillations.,10.1038/s41598-026-52285-1,42156449,,Scientific reports,2026,,
,doi:10.1038/s41467-026-73106-z,doi:10.1038/s41467-026-73106-z,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,Respiratory pauses highlight sleep architecture in mice.,10.1038/s41467-026-73106-z,42156372,,Nature communications,2026,,
,doi:10.1016/j.sleep.2026.109024,doi:10.1016/j.sleep.2026.109024,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,High-frequency oscillations across wakefulness and sleep in NREM parasomnia and sleep-related hypermotor epilepsy: A comparative analysis.,10.1016/j.sleep.2026.109024,42143955,,Sleep medicine,2026,,
,doi:10.1093/ijnp/pyag025,doi:10.1093/ijnp/pyag025,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,"Negative allosteric modulator of the metabotropic glutamate receptor 7 ADX71743 increases wakefulness, reduces sleep, and alters stress-induced changes in the brain neurotransmitter levels.",10.1093/ijnp/pyag025,42113604,,The international journal of neuropsychopharmacology,2026,,
,doi:10.1371/journal.pone.0348614,doi:10.1371/journal.pone.0348614,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,Day-night variations in sleep and locomotor activity in lambs during the first 72 hours after birth and following the onset of rumination.,10.1371/journal.pone.0348614,42102044,,PloS one,2026,,
,doi:10.1111/crj.70188,doi:10.1111/crj.70188,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,Exploring the Role of Nocturnal Hypoxemia and Sleep Fragmentation in Memory Decline: Insights From Explainable Machine Learning Models.,10.1111/crj.70188,42101348,,The clinical respiratory journal,2026,,
,doi:10.3389/fnins.2026.1745281,doi:10.3389/fnins.2026.1745281,new_record,1.0,inserted_new,"[""pubmed""]",pubmed,"[""api_broad""]",api_broad,"A narrative review on oxytocin at the intersection of sleep, stress, and social behavior.",10.3389/fnins.2026.1745281,42093825,,Frontiers in neuroscience,2026,,
