query_id,query_text,query_group,query_set_version,priority,status,result_count
query_df2b47761c4b,DREADD sleep wake,animal_causal_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,82
query_17a869ac3e87,calcium imaging sleep wake neurons,animal_causal_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,60
query_82518d35d2bb,chemogenetic sleep regulation,animal_causal_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,60
query_556e6933d65e,fiber photometry sleep arousal,animal_causal_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,61
query_d9f741ec6bf9,optogenetic VLPO sleep,animal_causal_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,44
query_1cbd309ed7ac,optogenetic orexin sleep,animal_causal_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,71
query_29ff8da7b409,optogenetic sleep wake regulation,animal_causal_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,33
query_5adf1da30c6a,rodent sleep electrophysiology,animal_causal_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,120
query_17b031af8ed0,sleep deprivation mouse EEG,animal_causal_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,0
query_468fd2be47f6,thalamic reticular nucleus optogenetic spindle,animal_causal_sleep,sleep_literature_queries_v2_broad_sleep_science,1.0,active,74
query_2a9d33a108c4,animal model insomnia sleep,animal_sleep_models,sleep_literature_queries_v2_broad_sleep_science,1.0,active,46
query_f8d1bdb91487,chronic sleep restriction rodent,animal_sleep_models,sleep_literature_queries_v2_broad_sleep_science,1.0,active,110
query_decb907c0b51,chronic stress sleep disturbance mouse,animal_sleep_models,sleep_literature_queries_v2_broad_sleep_science,1.0,active,113
query_e1e120ae6831,mouse insomnia-like model,animal_sleep_models,sleep_literature_queries_v2_broad_sleep_science,1.0,active,70
query_9c60f983aef0,pharmacological insomnia model rodent,animal_sleep_models,sleep_literature_queries_v2_broad_sleep_science,1.0,active,75
